snapshot_date,match_date,winner,loser,player_1,player_2,odds_player_1,odds_player_2,implied_prob_1,implied_prob_2,bookmaker,actual_winner,p1_is_winner,p2_is_winner
2023-05-30,2023-05-29,Karen Khachanov,Radu Albot,Karen Khachanov,Radu Albot,1.18,5.0,0.8474576271186441,0.2,Unibet,Karen Khachanov,True,False
2023-05-30,2023-05-29,Juan Pablo Varillas,Roberto Bautista Agut,Juan Pablo Varillas,Roberto Bautista Agut,2.8,1.45,0.3571428571428571,0.6896551724137931,Unibet,Juan Pablo Varillas,True,False
2023-05-30,2023-05-29,Sebastian Ofner,Sebastian Korda,Sebastian Korda,Sebastian Ofner,1.55,2.45,0.6451612903225806,0.4081632653061224,Unibet,Sebastian Ofner,False,True
2023-05-30,2023-05-29,Stefanos Tsitsipas,Roberto Carballes Baena,Roberto Carballes Baena,Stefanos Tsitsipas,9.8,1.1,0.1020408163265306,0.9090909090909092,Betfair,Stefanos Tsitsipas,False,True
2023-05-30,2023-05-29,Lorenzo Sonego,Ugo Humbert,Lorenzo Sonego,Ugo Humbert,1.8,2.0,0.5555555555555556,0.5,SportsBet,Lorenzo Sonego,True,False
2023-05-30,2023-05-29,Novak Djokovic,Marton Fucsovics,Marton Fucsovics,Novak Djokovic,12.0,1.05,0.0833333333333333,0.9523809523809524,Unibet,Novak Djokovic,False,True
2023-05-30,2023-05-29,Alex Molcan,Hugo Gaston,Alex Molcan,Hugo Gaston,1.59,2.5,0.6289308176100629,0.4,LowVig.ag,Alex Molcan,True,False
2023-05-30,2023-05-29,Max Purcell,Jordan Thompson,Jordan Thompson,Max Purcell,1.75,2.1,0.5714285714285714,0.4761904761904761,TAB,Max Purcell,False,True
2023-05-30,2023-05-29,Alexander Zverev,Lloyd Harris,Alexander Zverev,Lloyd Harris,1.06,10.0,0.9433962264150942,0.1,Unibet,Alexander Zverev,True,False
2023-05-30,2023-05-29,Giulio Zeppieri,Alexander Bublik,Alexander Bublik,Giulio Zeppieri,2.12,1.86,0.4716981132075471,0.5376344086021505,Betfair,Giulio Zeppieri,False,True
2023-05-30,2023-05-29,Casper Ruud,Elias Ymer,Casper Ruud,Elias Ymer,1.06,10.5,0.9433962264150942,0.0952380952380952,Unibet,Casper Ruud,True,False
2023-05-30,2023-05-29,Andrea Vavassori,Miomir Kecmanovic,Andrea Vavassori,Miomir Kecmanovic,2.85,1.47,0.3508771929824561,0.6802721088435374,BetOnline.ag,Andrea Vavassori,True,False
2023-05-30,2023-05-29,Nicolas Jarry,Hugo Dellien,Hugo Dellien,Nicolas Jarry,3.8,1.25,0.2631578947368421,0.8,Coral,Nicolas Jarry,False,True
2023-05-30,2023-05-29,Tommy Paul,Dominic Stricker,Dominic Stricker,Tommy Paul,3.25,1.42,0.3076923076923077,0.7042253521126761,Betfair,Tommy Paul,False,True
2023-05-30,2023-05-29,Genaro Alberto Olivieri,Giovanni Mpetshi Perricard,Genaro Alberto Olivieri,Giovanni Mpetshi Perricard,1.78,2.04,0.5617977528089888,0.4901960784313725,Unibet,Genaro Alberto Olivieri,True,False
2023-05-30,2023-05-29,Arthur Rinderknech,Richard Gasquet,Arthur Rinderknech,Richard Gasquet,2.1,1.68,0.4761904761904761,0.5952380952380952,BlueBet,Arthur Rinderknech,True,False
2023-05-30,2023-05-29,Alejandro Davidovich Fokina,Luca Van Assche,Alejandro Davidovich Fokina,Luca Van Assche,1.34,3.18,0.7462686567164178,0.3144654088050314,SportsBet,Alejandro Davidovich Fokina,True,False
2023-05-30,2023-05-29,Grigor Dimitrov,Timofey Skatov,Grigor Dimitrov,Timofey Skatov,1.08,7.0,0.9259259259259258,0.1428571428571428,FOX Bet,Grigor Dimitrov,True,False
2023-05-30,2023-05-29,Gael Monfils,Sebastian Baez,Gael Monfils,Sebastian Baez,3.7,1.28,0.2702702702702702,0.78125,Unibet,Gael Monfils,True,False
2023-05-30,2023-05-29,Taylor Fritz,Michael Mmoh,Michael Mmoh,Taylor Fritz,17.5,1.0,0.0571428571428571,1.0,Marathon Bet,Taylor Fritz,False,True
2023-05-30,2023-05-29,Holger Rune,Christopher Eubanks,Christopher Eubanks,Holger Rune,13.0,1.02,0.0769230769230769,0.9803921568627452,MyBookie.ag,Holger Rune,False,True
2023-05-30,2023-05-29,Thiago Seyboth Wild,Daniil Medvedev,Daniil Medvedev,Thiago Seyboth Wild,1.06,10.0,0.9433962264150942,0.1,Ladbrokes,Thiago Seyboth Wild,False,True
2023-05-30,2023-05-29,Yannick Hanfmann,Thiago Monteiro,Thiago Monteiro,Yannick Hanfmann,2.85,1.36,0.3508771929824561,0.7352941176470588,Mr Green,Yannick Hanfmann,False,True
2023-05-30,2023-05-29,Emil Ruusuvuori,Gregoire Barrere,Emil Ruusuvuori,Gregoire Barrere,1.57,2.72,0.6369426751592356,0.3676470588235294,Matchbook,Emil Ruusuvuori,True,False
2023-05-30,2023-05-29,Guido Pella,Quentin Halys,Guido Pella,Quentin Halys,3.2,1.36,0.3125,0.7352941176470588,Unibet,Guido Pella,True,False
2023-05-30,2023-05-29,Francisco Cerundolo,Jaume Munar,Francisco Cerundolo,Jaume Munar,1.3,3.45,0.7692307692307692,0.2898550724637681,SportsBet,Francisco Cerundolo,True,False
2023-05-30,2023-05-29,Zhizhen Zhang,Thiago Agustin Tirante,Thiago Agustin Tirante,Zhizhen Zhang,2.4,1.52,0.4166666666666667,0.6578947368421053,TAB,Zhizhen Zhang,False,True
