matchup+side,bets,wins,winrate,total_staked,profit,roi
Clara Burel vs Talia Gibson (p1),1,1,1.0,3.750063235073992e+48,6.000101176118384e+47,16.0
Alexei Popyrin vs Chun Hsin Tseng (p1),50,50,1.0,1.343846965529971e+32,2.125706996373711e+31,15.82
Enzo Couacaud vs Hugo Dellien (p1),20,20,1.0,2.718032886279272e+31,4.2132543588654464e+30,15.5
Pablo Carreno Busta vs Pedro Cachin (p1),2,2,1.0,2.6662182739775e+27,3.466083756170747e+26,13.0
Daniel Evans vs Facundo Bagnis (p1),2,2,1.0,4.037137375446636e+30,5.248278588080622e+29,13.0
Gregoire Barrere vs Tomas Martin Etcheverry (p1),50,0,0.0,5.398464710029046e+25,-5.398464710029046e+25,-100.0
Corentin Moutet vs Yibing Wu (p2),2,0,0.0,2.611223709090212e+25,-2.611223709090212e+25,-100.0
Ben Shelton vs Pedro Cachin (p2),94,0,0.0,1.119046098524276e+38,-1.119046098524276e+38,-100.0
Fabian Marozsan vs Richard Gasquet (p2),10,0,0.0,3.406289075950789e+35,-3.406289075950789e+35,-100.0
Lloyd Harris vs Marton Fucsovics (p1),4,0,0.0,7.347625406958711e+35,-7.347625406958711e+35,-100.0
Adrian Mannarino vs Yosuke Watanuki (p2),94,0,0.0,3.480698636922338e+37,-3.480698636922338e+37,-100.0
Corentin Moutet vs Francisco Cerundolo (p1),56,0,0.0,1.849928077598838e+37,-1.849928077598838e+37,-100.0
Diego Schwartzman vs Oleksii Krutykh (p2),102,0,0.0,8.447038994559331e+31,-8.447038994559331e+31,-100.0
Aslan Karatsev vs Grigor Dimitrov (p1),68,0,0.0,1.3720396442926487e+33,-1.3720396442926487e+33,-100.0
Mikael Ymer vs Yoshihito Nishioka (p1),2,0,0.0,8.856671781629553e+27,-8.856671781629553e+27,-100.0
Pavel Kotov vs Tallon Griekspoor (p1),56,0,0.0,6.7138031423255195e+28,-6.7138031423255195e+28,-100.0
Ernesto Escobedo vs Taro Daniel (p1),72,0,0.0,3.884300141530481e+29,-3.884300141530481e+29,-100.0
Jack Draper vs Rafael Nadal (p1),74,0,0.0,1.5970283039555605e+30,-1.5970283039555605e+30,-100.0
Alejandro Davidovich Fokina vs Alexander Bublik (p2),68,0,0.0,9.319664129639623e+29,-9.319664129639623e+29,-100.0
Laslo Djere vs Zizou Bergs (p2),80,0,0.0,1.8114377249189066e+31,-1.8114377249189066e+31,-100.0
Richard Gasquet vs Ugo Humbert (p1),2,0,0.0,3.446673720132415e+32,-3.446673720132415e+32,-100.0
Miomir Kecmanovic vs Nicolas Jarry (p1),18,0,0.0,4.0875683454605884e+30,-4.0875683454605884e+30,-100.0
Benjamin Bonzi vs Mattia Bellucci (p2),14,0,0.0,2.0202380066355314e+31,-2.0202380066355314e+31,-100.0
Ben Shelton vs Zhizhen Zhang (p2),56,0,0.0,1.3170974821178624e+30,-1.3170974821178624e+30,-100.0
