market_id,player_1,player_2,odds_player_1,odds_player_2,match_id,actual_winner,winner_name,loser_name,match_date,selection_id_1,selection_id_2,implied_prob_1,implied_prob_2,odds_margin,implied_prob_diff,odds,odds_2,implied_prob,implied_diff
1.223682806,Beatriz Haddad Maia,Maria Timofeeva,,,298a137754,Maria Timofeeva,Maria Timofeeva,Beatriz Haddad Maia,2024-01-15,7083752,20136628,,,,,,,,
1.22368557,Taylor Fritz,Fabian Marozsan,,,aced09daa3,,,,,10279360,11942150,,,,,,,,
1.223703268,Edoardo Lavagno,Alexander Weis,,,2ffba90234,,,,,9632250,9634691,,,,,,,,
1.223703272,Andrea Collarini,Nikolas Sanchez Izquierdo,,,606203be48,,,,,8284716,25060922,,,,,,,,
1.223704567,Adrian Mannarino,Ben Shelton,,,28c31e8cf7,,,,,3066621,39460566,,,,,,,,
1.223704978,Karen Khachanov,Tomas Machac,,,945e557773,,,,,7659623,16149495,,,,,,,,
1.223705074,Andrey Rublev,Sebastian Korda,,,0e16de84eb,,,,,7797771,10902223,,,,,,,,
1.223705576,Paula Badosa,Amanda Anisimova,,,d968594f0f,Amanda Anisimova,Amanda Anisimova,Paula Badosa,2024-01-15,7412588,11636088,,,,,,,,
1.223705672,Marta Kostyuk,Elina Avanesyan,,,7f6112b7e3,Marta Kostyuk,Marta Kostyuk,Elina Avanesyan,2024-01-15,11694656,14383103,,,,,,,,
1.223705768,Magdalena Frech,Anastasia Zakharova,,,bf15420b8e,Magdalena Frech,Magdalena Frech,Anastasia Zakharova,2024-01-15,8444351,13320579,,,,,,,,
1.223706048,Lesia Tsurenko,Aryna Sabalenka,,,5f399aa24f,Aryna Sabalenka,Aryna Sabalenka,Lesia Tsurenko,2024-01-15,5300861,64563186,,,,,,,,
1.223706131,Ram/Salisbury,Altmaier/Reyes Varela,,,a3756c2dc4,,,,,22229228,64929517,,,,,,,,
1.223706168,Hunter/Siniakova,Aiava/Inglis,,,9e73c913bc,,,,,51395753,64928029,,,,,,,,
1.223706176,Kichenok/Ostapenko,Birrell/Gadecki,,,50bf25864f,,,,,20015061,38514824,,,,,,,,
1.223706204,Fabio Fognini,Denis Yevseyev,,,27093f0d83,,,,,2319544,8304957,,,,,,,,
1.22370841,Jason Jung,Ryan Peniston,,,12faf13839,,,,,7048850,9629249,,,,,,,,
1.223708414,Daniel Cukierman,Brandon Holt,,,bf04b08cbf,,,,,9361738,10410230,,,,,,,,
1.223708418,Mitchell Krueger,Learner Tien,,,b220b53418,,,,,19924836,42082091,,,,,,,,
1.223711625,Iga Swiatek,Linda Noskova,,,21017d0ec0,Linda Noskova,Linda Noskova,Iga Swiatek,2024-01-15,12085633,22088831,,,,,,,,
1.223711695,Pedro Martinez,Pablo Llamas Ruiz,,,b210c2beb4,,,,,13181195,17980033,,,,,,,,
1.223716879,Alexander Zverev,Alex Michelsen,,,7a9540ef6f,,,,,19924823,38374924,,,,,,,,
1.223716976,Casper Ruud,Cameron Norrie,,,3fd3b9be29,,,,,9629711,42669524,,,,,,,,
1.223717072,Tommy Paul,Miomir Kecmanovic,,,3548decbb0,,,,,8859306,9657480,,,,,,,,
1.223717101,Goransson/Olivetti,Glasspool/Rojer,,,273ee085df,,,,,64408333,64471970,,,,,,,,
1.223717105,Koolhof/Mektic,Heliovaara/Peers,,,3ab258e0ea,,,,,27502188,64471969,,,,,,,,
1.223717201,Oceane Dodin,Clara Burel,,,544e2bbb64,Oceane Dodin,Oceane Dodin,Clara Burel,2024-01-15,7289631,10351066,,,,,,,,
1.223717265,Sloane Stephens,Anna Kalinskaya,,,dddc5100a4,Anna Kalinskaya,Anna Kalinskaya,Sloane Stephens,2024-01-15,2923342,8907174,,,,,,,,
1.223717273,Chan/Olmos,Navarro/Shnaider,,,a103c15c23,,,,,58802253,64928024,,,,,,,,
1.223717277,Krawczyk/Shibahara,Bogdan/Masarova,,,5fa4866aca,,,,,64689382,64928031,,,,,,,,
1.223717281,Dolehide/Stearns,Schuurs/Stefani,,,06d636907c,,,,,64408840,64928033,,,,,,,,
1.223717285,Hsieh/Mertens,Saville/Tomljanovic,,,d5dc270eb3,,,,,39345701,64928040,,,,,,,,
1.223717545,Carlos Alcaraz,Juncheng Shang,,,7194bf5dd5,,,,,25215583,38901959,,,,,,,,
1.223718324,Elina Svitolina,Viktorija Golubic,,,c891a3869e,Elina Svitolina,Elina Svitolina,Viktorija Golubic,2024-01-15,6324464,7283232,,,,,,,,
1.223718956,Dayana Yastremska,Emma Navarro,,,d4b116140f,Dayana Yastremska,Dayana Yastremska,Emma Navarro,2024-01-15,9634670,10410355,,,,,,,,
1.223719018,Yafan Wang,Qinwen Zheng,,,fcbc73b9cd,Qinwen Zheng,Qinwen Zheng,Yafan Wang,2024-01-15,7695509,18848380,,,,,,,,
1.223723555,Tallon Griekspoor,Arthur Cazaux,,,f256791434,,,,,9198585,24918582,,,,,,,,
1.223723678,Grigor Dimitrov,Nuno Borges,,,4299eb6ec2,,,,,3120169,9633043,,,,,,,,
1.223723745,Jasmine Paolini,Anna Blinkova,,,6dfc6c9c95,Jasmine Paolini,Jasmine Paolini,Anna Blinkova,2024-01-15,8944356,9635244,,,,,,,,
1.223725541,Wang/Yuan,Krejcikova/Siegemund,,,c2c79b4bd0,,,,,47168907,64689930,,,,,,,,
1.223725724,Ugo Humbert,Hubert Hurkacz,,,4db78262f4,,,,,9633253,19924838,,,,,,,,
1.223727165,Victoria Azarenka,Jelena Ostapenko,,,0a5d1d55c2,Victoria Azarenka,Victoria Azarenka,Jelena Ostapenko,2024-01-15,2263640,8827537,,,,,,,,
1.223735974,Felix Auger-Aliassime,Daniil Medvedev,,,4d137603dd,,,,,12210252,19924831,,,,,,,,
1.223736488,Shiho Akita,Ela Nala Milic,,,570bfea456,,,,,9165932,40400844,,,,,,,,
1.223739199,Duje Ajdukovic,Matteo Gigante,,,3384f79ce5,,,,,12819814,26309954,,,,,,,,
1.223739639,Matsui/Uesugi,Johnson/Mansouri,,,a7700bc1ab,,,,,22338050,47547688,,,,,,,,
1.223739643,Marco Trungelliti,Thai-Son Kwiatkowski,,,45d264161b,,,,,6498878,8258569,,,,,,,,
1.223739647,Edoardo Lavagno,Santiago Rodriguez Taverna,,,3e832cf850,,,,,9632250,46056201,,,,,,,,
1.223739651,Facundo Bagnis,Liam Draxl,,,332e4955ec,,,,,4520808,19446873,,,,,,,,
1.223739655,Dmitry Popko,Andrea Collarini,,,d1b9009857,,,,,8284522,8284716,,,,,,,,
1.223740108,Ana Sofia Sanchez,Sara Cakarevic,,,19220c8170,,,,,7082838,10116457,,,,,,,,
1.223740111,Ashton Bowers,Sarah Iliev,,,cc51739a54,,,,,40931812,56153130,,,,,,,,
1.223741738,Paul Jubb,Omni Kumar,,,1c0173302e,,,,,12085604,21256229,,,,,,,,
1.223741762,Denis Yevseyev,Samuel Vincent Ruggeri,,,7f84b8bd83,,,,,8304957,25337482,,,,,,,,
1.223742125,Mikhail Kukushkin,Javier Barranco Cosano,,,96e5554ad5,,,,,2609424,10082231,,,,,,,,
1.223742129,Behar/Pavlasek,Barrientos/Matos,,,6916b9c801,,,,,55987911,64408098,,,,,,,,
1.223742134,Errani/Paolini,Aoyama/Krunic,,,c4b24abea8,,,,,23889603,24590913,,,,,,,,
1.223742139,Balaji/Cornea,Arevalo/Pavic,,,2b3413375d,,,,,64408100,64409292,,,,,,,,
1.223742144,Hanfmann/Koepfer,Hijikata/Kubler,,,e08a090787,,,,,39269027,51718194,,,,,,,,
1.223742352,Purcell/Thompson,Nys/Zielinski,,,1054437011,,,,,38366904,43291463,,,,,,,,
