snapshot_date,match_date,winner,loser,player_1,player_2,odds_player_1,odds_player_2,implied_prob_1,implied_prob_2,bookmaker,actual_winner,p1_is_winner,p2_is_winner,winner_name,won
2023-07-03,2023-07-03,Alexandre Muller,Arthur Rinderknech,Alexandre Muller,Arthur Rinderknech,3.9,1.24,0.2564102564102564,0.8064516129032259,William Hill (US),Alexandre Muller,True,False,Alexandre Muller,1
2023-07-03,2023-07-03,Alexandre Muller,Arthur Rinderknech,Alexandre Muller,Arthur Rinderknech,4.3,1.25,0.2325581395348837,0.8,Betfair,Alexandre Muller,True,False,Alexandre Muller,1
2023-07-03,2023-07-03,Alexandre Muller,Arthur Rinderknech,Alexandre Muller,Arthur Rinderknech,3.75,1.25,0.2666666666666666,0.8,Betfair Sportsbook,Alexandre Muller,True,False,Alexandre Muller,1
2023-07-03,2023-07-03,Alexandre Muller,Arthur Rinderknech,Alexandre Muller,Arthur Rinderknech,4.0,1.22,0.25,0.819672131147541,Paddy Power,Alexandre Muller,True,False,Alexandre Muller,1
2023-07-03,2023-07-03,Alexandre Muller,Arthur Rinderknech,Alexandre Muller,Arthur Rinderknech,4.3,1.25,0.2325581395348837,0.8,Betfair,Alexandre Muller,True,False,Alexandre Muller,1
2023-07-03,2023-07-03,Alexandre Muller,Arthur Rinderknech,Alexandre Muller,Arthur Rinderknech,4.15,1.23,0.2409638554216867,0.8130081300813008,FanDuel,Alexandre Muller,True,False,Alexandre Muller,1
2023-07-03,2023-07-03,Alexandre Muller,Arthur Rinderknech,Alexandre Muller,Arthur Rinderknech,4.3,1.25,0.2325581395348837,0.8,Betfair,Alexandre Muller,True,False,Alexandre Muller,1
2023-07-03,2023-07-03,Andy Murray,Ryan Peniston,Andy Murray,Ryan Peniston,1.1,7.5,0.9090909090909092,0.1333333333333333,Unibet,Andy Murray,True,False,Andy Murray,1
2023-07-03,2023-07-03,Andy Murray,Ryan Peniston,Andy Murray,Ryan Peniston,1.1,7.0,0.9090909090909092,0.1428571428571428,Coral,Andy Murray,True,False,Andy Murray,1
2023-07-03,2023-07-03,Andy Murray,Ryan Peniston,Andy Murray,Ryan Peniston,1.1,7.0,0.9090909090909092,0.1428571428571428,Ladbrokes,Andy Murray,True,False,Andy Murray,1
2023-07-03,2023-07-03,Andy Murray,Ryan Peniston,Andy Murray,Ryan Peniston,1.1,7.0,0.9090909090909092,0.1428571428571428,Ladbrokes,Andy Murray,True,False,Andy Murray,1
2023-07-03,2023-07-03,Andy Murray,Ryan Peniston,Andy Murray,Ryan Peniston,1.1,7.5,0.9090909090909092,0.1333333333333333,Barstool Sportsbook,Andy Murray,True,False,Andy Murray,1
2023-07-03,2023-07-03,Andy Murray,Ryan Peniston,Andy Murray,Ryan Peniston,1.08,6.3,0.9259259259259258,0.1587301587301587,MyBookie.ag,Andy Murray,True,False,Andy Murray,1
2023-07-03,2023-07-03,Andy Murray,Ryan Peniston,Andy Murray,Ryan Peniston,1.1,7.0,0.9090909090909092,0.1428571428571428,Neds,Andy Murray,True,False,Andy Murray,1
2023-07-03,2023-07-03,Andy Murray,Ryan Peniston,Andy Murray,Ryan Peniston,1.1,7.5,0.9090909090909092,0.1333333333333333,BetRivers,Andy Murray,True,False,Andy Murray,1
2023-07-03,2023-07-03,Andy Murray,Ryan Peniston,Andy Murray,Ryan Peniston,1.11,7.0,0.9009009009009008,0.1428571428571428,Bovada,Andy Murray,True,False,Andy Murray,1
2023-07-03,2023-07-03,Andy Murray,Ryan Peniston,Andy Murray,Ryan Peniston,1.09,6.2,0.9174311926605504,0.1612903225806451,Betclic,Andy Murray,True,False,Andy Murray,1
2023-07-03,2023-07-03,Andy Murray,Ryan Peniston,Andy Murray,Ryan Peniston,1.09,6.75,0.9174311926605504,0.1481481481481481,Mr Green,Andy Murray,True,False,Andy Murray,1
2023-07-03,2023-07-03,Andy Murray,Ryan Peniston,Andy Murray,Ryan Peniston,1.1,7.5,0.9090909090909092,0.1333333333333333,Casumo,Andy Murray,True,False,Andy Murray,1
2023-07-03,2023-07-03,Andy Murray,Ryan Peniston,Andy Murray,Ryan Peniston,1.09,7.0,0.9174311926605504,0.1428571428571428,TAB,Andy Murray,True,False,Andy Murray,1
2023-07-03,2023-07-03,Andy Murray,Ryan Peniston,Andy Murray,Ryan Peniston,1.1,7.5,0.9090909090909092,0.1333333333333333,PointsBet (AU),Andy Murray,True,False,Andy Murray,1
2023-07-03,2023-07-03,Andy Murray,Ryan Peniston,Andy Murray,Ryan Peniston,1.1,7.0,0.9090909090909092,0.1428571428571428,DraftKings,Andy Murray,True,False,Andy Murray,1
2023-07-03,2023-07-03,Andy Murray,Ryan Peniston,Andy Murray,Ryan Peniston,1.09,7.0,0.9174311926605504,0.1428571428571428,Virgin Bet,Andy Murray,True,False,Andy Murray,1
2023-07-03,2023-07-03,Andy Murray,Ryan Peniston,Andy Murray,Ryan Peniston,1.09,7.4,0.9174311926605504,0.1351351351351351,Marathon Bet,Andy Murray,True,False,Andy Murray,1
2023-07-03,2023-07-03,Andy Murray,Ryan Peniston,Andy Murray,Ryan Peniston,1.1,7.5,0.9090909090909092,0.1333333333333333,Unibet,Andy Murray,True,False,Andy Murray,1
2023-07-03,2023-07-03,Andy Murray,Ryan Peniston,Andy Murray,Ryan Peniston,1.1,7.5,0.9090909090909092,0.1333333333333333,Unibet,Andy Murray,True,False,Andy Murray,1
2023-07-03,2023-07-03,Andy Murray,Ryan Peniston,Andy Murray,Ryan Peniston,1.1,7.5,0.9090909090909092,0.1333333333333333,Unibet,Andy Murray,True,False,Andy Murray,1
2023-07-03,2023-07-03,Andy Murray,Ryan Peniston,Andy Murray,Ryan Peniston,1.1,7.5,0.9090909090909092,0.1333333333333333,TwinSpires,Andy Murray,True,False,Andy Murray,1
2023-07-03,2023-07-03,Andy Murray,Ryan Peniston,Andy Murray,Ryan Peniston,1.09,7.0,0.9174311926605504,0.1428571428571428,Betr,Andy Murray,True,False,Andy Murray,1
2023-07-03,2023-07-03,Andy Murray,Ryan Peniston,Andy Murray,Ryan Peniston,1.09,7.0,0.9174311926605504,0.1428571428571428,LiveScore Bet,Andy Murray,True,False,Andy Murray,1
2023-07-03,2023-07-03,Andy Murray,Ryan Peniston,Andy Murray,Ryan Peniston,1.1,7.0,0.9090909090909092,0.1428571428571428,Betway,Andy Murray,True,False,Andy Murray,1
2023-07-03,2023-07-03,Andy Murray,Ryan Peniston,Andy Murray,Ryan Peniston,1.08,6.75,0.9259259259259258,0.1481481481481481,LeoVegas,Andy Murray,True,False,Andy Murray,1
2023-07-03,2023-07-03,Andy Murray,Ryan Peniston,Andy Murray,Ryan Peniston,1.08,8.52,0.9259259259259258,0.1173708920187793,BetOnline.ag,Andy Murray,True,False,Andy Murray,1
2023-07-03,2023-07-03,Andy Murray,Ryan Peniston,Andy Murray,Ryan Peniston,1.08,8.52,0.9259259259259258,0.1173708920187793,LowVig.ag,Andy Murray,True,False,Andy Murray,1
2023-07-03,2023-07-03,Andy Murray,Ryan Peniston,Andy Murray,Ryan Peniston,1.07,7.5,0.9345794392523364,0.1333333333333333,TopSport,Andy Murray,True,False,Andy Murray,1
2023-07-03,2023-07-03,Andy Murray,Ryan Peniston,Andy Murray,Ryan Peniston,1.09,6.75,0.9174311926605504,0.1481481481481481,888sport,Andy Murray,True,False,Andy Murray,1
