market_id,player_1,player_2,odds_player_1,odds_player_2,match_id,actual_winner,winner_name,loser_name,match_date,selection_id_1,selection_id_2,implied_prob_1,implied_prob_2,odds_margin,implied_diff
1.223435783,Qinwen Zheng,Ashlyn Krueger,1.01,100.0,bb0fe68460,,,,,18848380,24143371,0.9900990099009901,0.01,9.90099009900991e-05,0.9800990099009901
1.223435787,Magdalena Frech,Daria Saville,1.11,6.0,b8a725d7d7,,,,,8444351,42231870,0.9009009009009008,0.16666666666666666,0.06756756756756754,0.7342342342342342
1.223436418,Kaja Juvan,Anastasia Potapova,1.01,100.0,0e541a6e62,,,,,9635566,10554735,0.9900990099009901,0.01,9.90099009900991e-05,0.9800990099009901
1.223436572,Gael Monfils,Yannick Hanfmann,1.52,2.9,465db68895,Gael Monfils,Gael Monfils,Yannick Hanfmann,2024-01-15,2257300,8639275,0.6578947368421053,0.3448275862068966,0.0027223230490018846,0.31306715063520874
1.223436938,Andy Murray,Tomas Martin Etcheverry,1.74,2.34,9600ad9ed2,Tomas Martin Etcheverry,Tomas Martin Etcheverry,Andy Murray,2024-01-15,2256509,9631399,0.5747126436781609,0.4273504273504274,0.0020630710285882703,0.1473622163277335
1.223437034,Adrian Mannarino,Stan Wawrinka,1.52,2.92,3226d331bf,Adrian Mannarino,Adrian Mannarino,Stan Wawrinka,2024-01-15,3066621,19924832,0.6578947368421053,0.3424657534246575,0.00036049026676288065,0.3154289834174478
1.223437133,Katie Boulter,Yue Yuan,1.01,2.06,e995916f86,,,,,8619018,9634353,0.9900990099009901,0.4854368932038835,0.4755359031048736,0.5046621166971066
1.223437276,Jaume Munar,Alexander Shevchenko,3.1,1.5,bb2d018b02,Jaume Munar,Jaume Munar,Alexander Shevchenko,2024-01-15,9350385,15134244,0.3225806451612903,0.6666666666666666,-0.010752688172043001,-0.3440860215053763
1.223437471,Shelby Rogers,Emma Raducanu,1000.0,1.4,3feaeab0b6,,,,,4943786,18849246,0.001,0.7142857142857143,-0.2847142857142857,-0.7132857142857143
1.223438076,Sorana Cirstea,Yafan Wang,50.0,1.02,c03aab18c3,,,,,2387871,7695509,0.02,0.9803921568627451,0.0003921568627449634,-0.960392156862745
1.22343826,Christopher O'Connell,Cristian Garin,1.54,2.84,c6643c394b,Christopher Oconnell,Christopher Oconnell,Cristian Garin,2024-01-15,8942164,23814703,0.6493506493506493,0.35211267605633806,0.001463325406987348,0.2972379732943113
1.223438324,Oceane Dodin,Lin Zhu,1.07,13.5,9a9013032c,,,,,7289631,8714569,0.9345794392523364,0.07407407407407407,0.008653513326410511,0.8605053651782624
1.223438476,Roberto Bautista Agut,Ben Shelton,3.0,1.55,c2abeb03c4,Ben Shelton,Ben Shelton,Roberto Bautista Agut,2024-01-15,4290403,39460566,0.3333333333333333,0.6451612903225806,-0.021505376344086002,-0.3118279569892473
1.223438482,Aleksandra Krunic,Clara Burel,9.0,1.12,aa00ac3e8e,,,,,5300820,10351066,0.1111111111111111,0.8928571428571428,0.003968253968253954,-0.7817460317460316
1.223438681,Botic Van de Zandschulp,Jannik Sinner,17.5,1.07,fc00360302,Jannik Sinner,Jannik Sinner,Botic Van De Zandschulp,2024-01-15,9628851,10372253,0.05714285714285714,0.9345794392523364,-0.008277703604806397,-0.8774365821094793
1.223438873,Jason Kubler,Daniel Elahi Galan,100.0,1.01,9cfca2e4a4,Daniel Elahi Galan,Daniel Elahi Galan,Jason Kubler,2024-01-15,4448756,8860646,0.01,0.9900990099009901,9.90099009900991e-05,-0.9800990099009901
1.223439059,Marin Cilic,Fabian Marozsan,2.22,1.1,b03695b6f9,Fabian Marozsan,Fabian Marozsan,Marin Cilic,2024-01-15,2263681,11942150,0.4504504504504504,0.9090909090909091,0.35954135954135946,-0.45864045864045866
1.223439065,Sebastian Baez,J.j. Wolf,1.01,110.0,754b4047ed,Sebastian Baez,Sebastian Baez,J J Wolf,2024-01-15,11285506,35727604,0.9900990099009901,0.00909090909090909,-0.0008100810081008714,0.981008100810081
1.223439253,Benjamin Bonzi,Lorenzo Musetti,3.55,1.01,135d7652e3,Lorenzo Musetti,Lorenzo Musetti,Benjamin Bonzi,2024-01-15,9632014,13834991,0.28169014084507044,0.9900990099009901,0.2717891507460606,-0.7084088690559196
1.223439259,Borna Coric,Frances Tiafoe,85.0,1.01,2854ae35bc,Frances Tiafoe,Frances Tiafoe,Borna Coric,2024-01-15,7446579,19924839,0.011764705882352941,0.9900990099009901,0.0018637157833429896,-0.9783343040186372
1.223439541,Karen Khachanov,Daniel Altmaier,1.03,42.0,4303f0feaa,Karen Khachanov,Karen Khachanov,Daniel Altmaier,2024-01-15,7659623,9632088,0.970873786407767,0.023809523809523808,-0.005316689782709161,0.9470642625982432
1.223439547,Aleksandar Vukic,Jordan Thompson,7.2,1.16,f6967e3fa7,Jordan Thompson,Jordan Thompson,Aleksandar Vukic,2024-01-15,8979695,19924841,0.1388888888888889,0.8620689655172414,0.0009578544061303873,-0.7231800766283525
1.223439643,Milos Raonic,Alex De Minaur,34.0,1.01,0a64adb925,Alex De Minaur,Alex De Minaur,Milos Raonic,2024-01-15,4105819,10109527,0.029411764705882353,0.9900990099009901,0.01951077460687234,-0.9606872451951077
