match_date,winner,loser,player_1,player_2,odds_player_1,odds_player_2,implied_prob_1,implied_prob_2,actual_winner,p1_is_winner,p2_is_winner,winner_clean,p1_clean,p1_won,odds_margin,is_fav_p1,implied_diff,p_model,ev_p1_model,model_bet,profit_model
2023-01-16,Francisco Cerundolo,Guido Pella,Francisco Cerundolo,Guido Pella,1.02,17.0,0.9803921568627452,0.0588235294117647,Francisco Cerundolo,True,False,francisco cerundolo,francisco cerundolo,1,0.0392156862745098,1,0.9215686274509804,0.9824121983979996,0.0020604423659595,True,0.020000000000000018
2023-01-16,Francisco Cerundolo,Guido Pella,Francisco Cerundolo,Guido Pella,1.02,16.0,0.9803921568627452,0.0625,Francisco Cerundolo,True,False,francisco cerundolo,francisco cerundolo,1,0.0428921568627451,1,0.9178921568627452,0.9820893877995324,0.001731175555523,True,0.020000000000000018
2023-01-16,Francisco Cerundolo,Guido Pella,Francisco Cerundolo,Guido Pella,1.02,14.0,0.9803921568627452,0.0714285714285714,Francisco Cerundolo,True,False,francisco cerundolo,francisco cerundolo,1,0.0518207282913165,1,0.9089635854341738,0.9812810101386518,0.0009066303414248,True,0.020000000000000018
2023-01-16,Francisco Cerundolo,Guido Pella,Francisco Cerundolo,Guido Pella,1.02,16.0,0.9803921568627452,0.0625,Francisco Cerundolo,True,False,francisco cerundolo,francisco cerundolo,1,0.0428921568627451,1,0.9178921568627452,0.9820893877995324,0.001731175555523,True,0.020000000000000018
2023-01-16,Tomas Martin Etcheverry,Gregoire Barrere,Gregoire Barrere,Tomas Martin Etcheverry,2.8,1.4,0.3571428571428571,0.7142857142857143,Tomas Martin Etcheverry,False,True,tomas martin etcheverry,gregoire barrere,0,0.0714285714285714,0,-0.3571428571428572,0.4753224383810555,0.3309028274669552,True,-1.0
2023-01-16,Tomas Martin Etcheverry,Gregoire Barrere,Gregoire Barrere,Tomas Martin Etcheverry,2.85,1.45,0.3508771929824561,0.6896551724137931,Tomas Martin Etcheverry,False,True,tomas martin etcheverry,gregoire barrere,0,0.0405323653962492,0,-0.338777979431337,0.4978473262844143,0.4188648799105809,True,-1.0
2023-01-16,Tomas Martin Etcheverry,Gregoire Barrere,Gregoire Barrere,Tomas Martin Etcheverry,3.1,1.34,0.3225806451612903,0.7462686567164178,Tomas Martin Etcheverry,False,True,tomas martin etcheverry,gregoire barrere,0,0.0688493018777081,0,-0.4236880115551275,0.3901429614099256,0.2094431803707694,True,-1.0
2023-01-16,Tomas Martin Etcheverry,Gregoire Barrere,Gregoire Barrere,Tomas Martin Etcheverry,2.9,1.4,0.3448275862068966,0.7142857142857143,Tomas Martin Etcheverry,False,True,tomas martin etcheverry,gregoire barrere,0,0.0591133004926107,0,-0.3694581280788177,0.4587525871729395,0.3303825028015246,True,-1.0
2023-01-16,Tomas Martin Etcheverry,Gregoire Barrere,Gregoire Barrere,Tomas Martin Etcheverry,2.75,1.44,0.3636363636363636,0.6944444444444444,Tomas Martin Etcheverry,False,True,tomas martin etcheverry,gregoire barrere,0,0.0580808080808079,0,-0.3308080808080808,0.5090597075082589,0.399914195647712,True,-1.0
2023-01-16,Tomas Martin Etcheverry,Gregoire Barrere,Gregoire Barrere,Tomas Martin Etcheverry,3.0,1.36,0.3333333333333333,0.7352941176470588,Tomas Martin Etcheverry,False,True,tomas martin etcheverry,gregoire barrere,0,0.0686274509803921,0,-0.4019607843137254,0.4174353513686606,0.2523060541059818,True,-1.0
