market_id,player_1,player_2,odds_player_1_x,odds_player_2_x,actual_winner,winner_name,loser_name,match_date,player_1_clean,player_2_clean,selection_id_1,selection_id_2,odds_player_1_y,odds_player_2_y,odds_player_1,odds_player_2
1.211898009,Jessica Pegula,Magda Linette,1.01,55.0,Jessica Pegula,Jessica Pegula,Magda Linette,2023-03-20,jessica pegula,magda linette,6215852,7083215,1.01,55.0,1.01,55.0
1.211904748,Jelena Ostapenko,Martina Trevisan,510.0,1.01,Martina Trevisan,Martina Trevisan,Jelena Ostapenko,2023-03-20,jelena ostapenko,martina trevisan,8827537,9345630,510.0,1.01,510.0,1.01
1.211911862,Elise Mertens,Elena Rybakina,1000.0,1.01,Elena Rybakina,Elena Rybakina,Elise Mertens,2023-03-20,elise mertens,elena rybakina,9002334,10349398,1000.0,1.01,1000.0,1.01
1.211935767,Marketa Vondrousova,Sorana Cirstea ,100.0,1.01,Sorana Cirstea,Sorana Cirstea,Marketa Vondrousova,2023-03-20,marketa vondrousova,sorana cirstea,9433253,51395204,100.0,1.01,100.0,1.01
1.211937245,Ekaterina Alexandrova,Bianca Andreescu,2.68,1.6,Ekaterina Alexandrova,Ekaterina Alexandrova,Bianca Andreescu,2023-03-20,ekaterina alexandrova,bianca andreescu,8681458,10141729,2.68,1.6,2.68,1.6
1.211939007,Petra Kvitova,Varvara Gracheva,1.55,2.8,Petra Kvitova,Petra Kvitova,Varvara Gracheva,2023-03-20,petra kvitova,varvara gracheva,2497008,10942984,1.55,2.8,1.55,2.8
1.211948246,Barbora Krejcikova,A Sabalenka,3.25,1.42,Aryna Sabalenka,Aryna Sabalenka,Barbora Krejcikova,2023-03-20,barbora krejcikova,a sabalenka,8784972,51227792,3.25,1.42,3.25,1.42
1.21198872,Jessica Pegula,Anastasia Potapova,1.01,100.0,Jessica Pegula,Jessica Pegula,Anastasia Potapova,2023-03-20,jessica pegula,anastasia potapova,6215852,10554735,1.01,100.0,1.01,100.0
1.211990291,Martina Trevisan,Elena Rybakina,10.0,1.11,Elena Rybakina,Elena Rybakina,Martina Trevisan,2023-03-20,martina trevisan,elena rybakina,9345630,10349398,10.0,1.11,10.0,1.11
1.211995931,Petra Kvitova,Ekaterina Alexandrova,1.05,18.5,Petra Kvitova,Petra Kvitova,Ekaterina Alexandrova,2023-03-20,petra kvitova,ekaterina alexandrova,2497008,8681458,1.05,18.5,1.05,18.5
1.212000524,A Sabalenka,Sorana Cirstea ,100.0,1.01,Sorana Cirstea,Sorana Cirstea,Aryna Sabalenka,2023-03-20,a sabalenka,sorana cirstea,51227792,51395204,100.0,1.01,100.0,1.01
1.212112919,Petra Kvitova,Sorana Cirstea ,1.96,34.0,Petra Kvitova,Petra Kvitova,Sorana Cirstea,2023-03-20,petra kvitova,sorana cirstea,2497008,51395204,1.96,34.0,1.96,34.0
