player,bets,wins,winrate,total_staked,profit,roi,avg_ev
Sebastian Korda,36,26,0.7222,3.33725829147929e+49,-3.337258291474503e+49,-100.0,0.0577
Jordan Thompson,8,0,0.0,3.005667421206321e+57,-3.005667421206321e+57,-100.0,0.0575
Yannick Hanfmann,2,0,0.0,2.783149435983704e+48,-2.783149435983704e+48,-100.0,0.9016
Bianca Andreescu,3,1,0.3333,4.40703336274063e+53,-4.407029226513805e+53,-100.0,0.0636
Fabian Marozsan,76,0,0.0,1.480827999791584e+55,-1.480827999791584e+55,-100.0,0.2584
Steve Johnson,14,0,0.0,2.7184891237160966e+48,-2.7184891237160966e+48,-100.0,0.115
Quentin Halys,8,0,0.0,4.1323284793834714e+51,-4.1323284793834714e+51,-100.0,0.0669
Ethan Quinn,90,0,0.0,8.061931408393737e+51,-8.061931408393737e+51,-100.0,0.2457
Hugo Dellien,90,0,0.0,7.034428461049817e+49,-7.034428461049817e+49,-100.0,0.5102
Sho Shimabukuro,14,0,0.0,3.044150646496956e+47,-3.044150646496956e+47,-100.0,0.1206
Aleksandar Vukic,18,0,0.0,2.1507674128825254e+48,-2.1507674128825254e+48,-100.0,0.0879
Emilio Nava,90,0,0.0,1.2236651419337387e+37,-1.2236651419337387e+37,-100.0,0.472
Zachary Svajda,90,0,0.0,1.215390850599517e+52,-1.215390850599517e+52,-100.0,0.291
Jiri Lehecka,10,0,0.0,2.414069319799874e+46,-2.414069319799874e+46,-100.0,0.0672
Marcos Giron,96,0,0.0,1.9087656611447948e+39,-1.9087656611447948e+39,-100.0,0.2821
Nicolas Moreno De Alboran,172,0,0.0,6.42907914798373e+55,-6.42907914798373e+55,-100.0,0.3067
Taro Daniel,138,0,0.0,5.0957837140243105e+53,-5.0957837140243105e+53,-100.0,0.2561
Diego Schwartzman,14,0,0.0,1.0404495930541404e+49,-1.0404495930541404e+49,-100.0,0.065
Radu Albot,174,0,0.0,5.69553857939778e+57,-5.69553857939778e+57,-100.0,0.3261
Marco Cecchinato,46,0,0.0,2.771430416186367e+49,-2.771430416186367e+49,-100.0,0.1058
Stefano Travaglia,62,0,0.0,1.739849571910702e+49,-1.739849571910702e+49,-100.0,0.1233
Leolia Jeanjean,1,0,0.0,5.835834713832148e+49,-5.835834713832148e+49,-100.0,0.0644
Jil Teichmann,32,1,0.0312,5.164827825708174e+54,-5.164694585817793e+54,-100.0,0.0674
Fiona Ferro,4,0,0.0,7.637472495746128e+51,-7.637472495746128e+51,-100.0,0.0693
Qinwen Zheng,4,0,0.0,1.2157787672036422e+54,-1.2157787672036422e+54,-100.0,0.0573
Storm Hunter,4,0,0.0,1.2498530040763713e+52,-1.2498530040763713e+52,-100.0,0.1164
Magdalena Frech,3,0,0.0,8.09724870036166e+51,-8.09724870036166e+51,-100.0,0.0635
