market_id,player_1,player_2,odds_player_1,odds_player_2,actual_winner,winner_name,loser_name,match_date,player_1_clean,player_2_clean,selection_id_1,selection_id_2
1.213457511,Daria Kasatkina,Anastasia Pavlyuchenkova,,,Daria Kasatkina,Daria Kasatkina,Anastasia Pavlyuchenkova,2023-04-24,daria kasatkina,anastasia pavlyuchenkova,7795290,11057836
1.213457928,Magda Linette,Marketa Vondrousova,,,Magda Linette,Magda Linette,Marketa Vondrousova,2023-04-24,magda linette,marketa vondrousova,7083215,9433253
1.213458744,Victoria Azarenka,Alycia Parks,,,Alycia Parks,Alycia Parks,Victoria Azarenka,2023-04-24,victoria azarenka,alycia parks,2263640,11233227
1.213458998,Petra Martic,Laura Siegemund,,,Petra Martic,Petra Martic,Laura Siegemund,2023-04-24,petra martic,laura siegemund,2346703,4829328
1.213459132,Eugenie Bouchard,Martina Trevisan,,,Martina Trevisan,Martina Trevisan,Eugenie Bouchard,2023-04-24,eugenie bouchard,martina trevisan,5704759,9345630
1.213463723,Jaqueline Cristian,Anastasia Potapova,,,Anastasia Potapova,Anastasia Potapova,Jaqueline Cristian,2023-04-24,jaqueline cristian,anastasia potapova,9627961,10554735
1.213463867,Alize Cornet,Ekaterina Alexandrova,,,Ekaterina Alexandrova,Ekaterina Alexandrova,Alize Cornet,2023-04-24,alize cornet,ekaterina alexandrova,2263692,8681458
1.213491384,Maria Sakkari,Rebeka Masarova,,,Maria Sakkari,Maria Sakkari,Rebeka Masarova,2023-04-24,maria sakkari,rebeka masarova,9002331,10372262
1.213493093,Jelena Ostapenko,Liudmila Samsonova,,,Liudmila Samsonova,Liudmila Samsonova,Jelena Ostapenko,2023-04-24,jelena ostapenko,liudmila samsonova,8827537,21067365
1.213496111,Paula Badosa,Coco Gauff,,,Paula Badosa,Paula Badosa,Coco Gauff,2023-04-24,paula badosa,coco gauff,7412588,27552403
