tourney_date,surface,winner_name,loser_name,winner_rank,loser_rank,score,best_of,tour
20230102,Hard,Benjamin Bonzi,Filip Krajinovic,60.0,54.0,7-6(5) 6-4,3,ATP
20230102,Hard,Botic Van De Zandschulp,Maximilian Marterer,35.0,159.0,6-4 6-2,3,ATP
20230102,Hard,Marin Cilic,Roberto Carballes Baena,17.0,74.0,6-3 3-6 6-1,3,ATP
20230102,Hard,Tallon Griekspoor,Marco Cecchinato,95.0,101.0,6-4 6-4,3,ATP
20230102,Hard,Pedro Martinez,Sebastian Baez,62.0,43.0,3-6 6-1 6-3,3,ATP
20230102,Hard,Aslan Karatsev,Tim Van Rijthoven,59.0,111.0,7-6(7) 7-6(8),3,ATP
20230102,Hard,Filip Krajinovic,Michael Mmoh,54.0,113.0,2-6 6-3 6-4,3,ATP
20230102,Hard,Benjamin Bonzi,Emil Ruusuvuori,60.0,40.0,6-1 7-6(4),3,ATP
20230102,Hard,Maximilian Marterer,Laslo Djere,159.0,70.0,7-6(5) 6-2,3,ATP
20230102,Hard,Botic Van De Zandschulp,Flavio Cobolli,35.0,171.0,7-5 6-4,3,ATP
20230102,Hard,Roberto Carballes Baena,Bernabe Zapata Miralles,74.0,72.0,6-1 7-5,3,ATP
20230102,Hard,Marco Cecchinato,Nikoloz Basilashvili,101.0,91.0,6-2 6-2,3,ATP
20230102,Hard,Tallon Griekspoor,Jaume Munar,95.0,58.0,6-4 7-5,3,ATP
20230102,Hard,Pedro Martinez,Ramkumar Ramanathan,62.0,435.0,3-6 7-5 6-3,3,ATP
20230102,Hard,Tim Van Rijthoven,Radu Albot,111.0,103.0,6-4 6-4,3,ATP
20230102,Hard,Aslan Karatsev,Pablo Andujar,59.0,121.0,6-1 6-3,3,ATP
20230102,Hard,Filip Krajinovic,Sumit Nagal,54.0,503.0,6-4 4-6 6-4,3,ATP
20230102,Hard,Michael Mmoh,Manas Dhamne,113.0,,6-2 6-4,3,ATP
20230102,Hard,Benjamin Bonzi,Chun Hsin Tseng,60.0,115.0,6-0 6-3,3,ATP
20230102,Hard,Laslo Djere,Alex Molcan,70.0,50.0,6-2 6-4,3,ATP
20230102,Hard,Maximilian Marterer,Elias Ymer,159.0,127.0,6-2 3-6 6-3,3,ATP
20230102,Hard,Flavio Cobolli,Sasi Kumar Mukund,171.0,340.0,6-4 7-5,3,ATP
20230109,Hard,Richard Gasquet,Cameron Norrie,67.0,12.0,4-6 6-4 6-4,3,ATP
20230109,Hard,Richard Gasquet,Constant Lestienne,67.0,65.0,W/O,3,ATP
20230109,Hard,Cameron Norrie,Jenson Brooksby,12.0,48.0,6-3 6-4,3,ATP
20230109,Hard,Constant Lestienne,Laslo Djere,65.0,70.0,2-6 7-6(2) 7-5,3,ATP
20230109,Hard,Richard Gasquet,David Goffin,67.0,53.0,1-6 6-1 6-1,3,ATP
20230109,Hard,Jenson Brooksby,Quentin Halys,48.0,64.0,7-6(3) 7-6(2),3,ATP
20230109,Hard,Cameron Norrie,Marcos Giron,12.0,60.0,6-1 6-7(5) 6-2,3,ATP
20230109,Hard,Laslo Djere,Casper Ruud,70.0,3.0,3-6 6-3 7-6(3),3,ATP
20230109,Hard,Constant Lestienne,Gregoire Barrere,65.0,88.0,1-6 7-6(4) 7-5,3,ATP
20230109,Hard,Richard Gasquet,Joao Sousa,67.0,82.0,7-6(2) 6-2,3,ATP
20230109,Hard,David Goffin,Christopher Eubanks,53.0,123.0,6-2 6-4,3,ATP
20230109,Hard,Quentin Halys,Ben Shelton,64.0,92.0,6-3 6-2,3,ATP
20230109,Hard,Jenson Brooksby,Diego Schwartzman,48.0,25.0,6-1 0-0 RET,3,ATP
20230109,Hard,Marcos Giron,J J Wolf,60.0,66.0,6-4 6-4,3,ATP
20230109,Hard,Cameron Norrie,Jiri Lehecka,12.0,78.0,6-4 6-7(4) 6-3,3,ATP
20230109,Hard,Laslo Djere,Jaume Munar,70.0,62.0,3-6 6-1 7-6(4),3,ATP
20230109,Hard,Constant Lestienne,Pedro Cachin,65.0,59.0,6-3 6-1,3,ATP
20230109,Hard,Gregoire Barrere,John Isner,88.0,42.0,6-7(3) 7-6(5) 6-3,3,ATP
20230109,Hard,Richard Gasquet,Kiranpal Pannu,67.0,575.0,6-3 6-1,3,ATP
20230109,Hard,Christopher Eubanks,Ugo Humbert,123.0,108.0,7-6(4) 7-6(3),3,ATP
20230109,Hard,David Goffin,Alexander Bublik,53.0,36.0,6-3 6-4,3,ATP
20230109,Hard,Ben Shelton,Sebastian Baez,92.0,41.0,7-6(1) 6-1,3,ATP
20230109,Hard,Quentin Halys,Alex Molcan,64.0,54.0,6-3 6-4,3,ATP
20230109,Hard,Jenson Brooksby,Fabio Fognini,48.0,57.0,6-7(2) 6-1 6-3,3,ATP
20230109,Hard,J J Wolf,Adrian Mannarino,66.0,43.0,6-4 7-6(4),3,ATP
20230109,Hard,Marcos Giron,Federico Coria,60.0,76.0,6-7(5) 6-4 7-5,3,ATP
20230109,Hard,Jiri Lehecka,Thiago Monteiro,78.0,69.0,6-3 7-5,3,ATP
20230109,Hard,Soon Woo Kwon,Roberto Bautista Agut,84.0,26.0,6-4 3-6 7-6(4),3,ATP
20230109,Hard,Roberto Bautista Agut,Thanasi Kokkinakis,26.0,110.0,7-6(4) 3-6 6-3,3,ATP
20230109,Hard,Soon Woo Kwon,Jack Draper,84.0,40.0,7-6(6) 6-7(2) 6-3,3,ATP
20230109,Hard,Thanasi Kokkinakis,Miomir Kecmanovic,110.0,28.0,6-3 6-7(4) 6-1,3,ATP
20230109,Hard,Roberto Bautista Agut,Alejandro Davidovich Fokina,26.0,32.0,6-3 6-2,3,ATP
20230109,Hard,Jack Draper,Karen Khachanov,40.0,20.0,6-4 7-6(3),3,ATP
20230109,Hard,Soon Woo Kwon,Mikael Ymer,84.0,77.0,6-1 6-2,3,ATP
20230109,Hard,Thanasi Kokkinakis,Andrey Rublev,110.0,6.0,6-4 3-6 6-3,3,ATP
20230109,Hard,Miomir Kecmanovic,Jason Kubler,28.0,86.0,5-7 7-6(1) 6-4,3,ATP
20230109,Hard,Roberto Bautista Agut,Robin Haase,26.0,257.0,6-3 3-6 6-3,3,ATP
20230109,Hard,Alejandro Davidovich Fokina,John Millman,32.0,148.0,6-3 6-3,3,ATP
20230109,Hard,Jack Draper,Tommy Paul,40.0,35.0,6-4 6-4,3,ATP
20230109,Hard,Karen Khachanov,Marc Andrea Huesler,20.0,55.0,6-4 6-4,3,ATP
20230109,Hard,Mikael Ymer,Mackenzie Mcdonald,77.0,63.0,3-6 7-6(2) 6-3,3,ATP
20230109,Hard,Soon Woo Kwon,Pablo Carreno Busta,84.0,15.0,3-6 6-4 6-4,3,ATP
20230109,Hard,Thanasi Kokkinakis,Alexei Popyrin,110.0,113.0,6-0 6-7(5) 7-5,3,ATP
20230109,Hard,Jason Kubler,Tomas Martin Etcheverry,86.0,80.0,7-6(2) 7-5,3,ATP
20230109,Hard,Miomir Kecmanovic,Kyle Edmund,28.0,583.0,6-4 7-5,3,ATP
20230109,Hard,Robin Haase,Benjamin Bonzi,257.0,50.0,3-6 7-6(8) 7-6(3),3,ATP
20230109,Hard,John Millman,Albert Ramos,148.0,38.0,4-6 6-3 7-6(6),3,ATP
20230109,Hard,Alejandro Davidovich Fokina,Brandon Nakashima,32.0,47.0,6-2 7-6(3),3,ATP
20230109,Hard,Tommy Paul,Christopher Oconnell,35.0,79.0,6-4 7-5,3,ATP
20230109,Hard,Jack Draper,Lorenzo Sonego,40.0,44.0,6-4 6-2,3,ATP
20230109,Hard,Marc Andrea Huesler,Arthur Rinderknech,55.0,45.0,4-6 7-6(5) 6-4,3,ATP
20230109,Hard,Mackenzie Mcdonald,Daniel Evans,63.0,27.0,7-5 7-5,3,ATP
20230109,Hard,Mikael Ymer,Emil Ruusuvuori,77.0,46.0,6-4 4-6 6-3,3,ATP
20230109,Hard,Soon Woo Kwon,Tomas Machac,84.0,115.0,6-4 6-4,3,ATP
20230116,Hard,Rafael Nadal,Jack Draper,2.0,38.0,7-5 2-6 6-4 6-1,5,ATP
20230116,Hard,Mackenzie Mcdonald,Brandon Nakashima,65.0,49.0,7-6(5) 7-6(1) 1-6 6-7(10) 6-4,5,ATP
20230116,Hard,Dalibor Svrcina,Jaume Munar,216.0,64.0,6-3 6-2 6-2,5,ATP
20230116,Hard,Yoshihito Nishioka,Mikael Ymer,33.0,69.0,6-4 6-2 7-5,5,ATP
20230116,Hard,Karen Khachanov,Bernabe Zapata Miralles,20.0,72.0,7-6(3) 6-2 6-0,5,ATP
20230116,Hard,Jason Kubler,Sebastian Baez,84.0,44.0,6-4 6-4 6-4,5,ATP
20230116,Hard,Juncheng Shang,Oscar Otte,194.0,74.0,6-2 6-4 6-7(2) 7-5,5,ATP
20230116,Hard,Frances Tiafoe,Daniel Altmaier,17.0,92.0,6-3 6-3 6-7(5) 7-6(6),5,ATP
20230116,Hard,Hubert Hurkacz,Pedro Martinez,11.0,60.0,7-6(1) 6-2 6-2,5,ATP
