snapshot_date,match_date,winner,loser,player_1,player_2,odds_player_1,odds_player_2,implied_prob_1,implied_prob_2,bookmaker,actual_winner,p1_is_winner,p2_is_winner,odds_margin,implied_diff,won
2023-01-16,2023-01-16,Bernarda Pera,Moyuka Uchijima,Bernarda Pera,Moyuka Uchijima,1.25,4.1,0.8,0.2439024390243902,Barstool Sportsbook,Bernarda Pera,True,False,-0.04390243902439028,0.5560975609756098,1
2023-01-16,2023-01-16,Maria Sakkari,Yue Yuan,Maria Sakkari,Yue Yuan,1.12,5.5,0.8928571428571428,0.1818181818181818,Paddy Power,Maria Sakkari,True,False,-0.07467532467532467,0.711038961038961,1
2023-01-16,2023-01-16,Petra Kvitova,Alison Van Uytvanck,Alison Van Uytvanck,Petra Kvitova,4.4,1.2,0.2272727272727272,0.8333333333333334,SportsBet,Petra Kvitova,False,True,-0.06060606060606055,-0.6060606060606062,0
2023-01-16,2023-01-16,Aliaksandra Sasnovich,Brenda Fruhvirtova,Aliaksandra Sasnovich,Brenda Fruhvirtova,1.41,2.85,0.7092198581560284,0.3508771929824561,MyBookie.ag,Aliaksandra Sasnovich,True,False,-0.0600970511384844,0.3583426651735723,1
2023-01-16,2023-01-16,Kaja Juvan,Selena Janicijevic,Kaja Juvan,Selena Janicijevic,1.38,3.05,0.7246376811594204,0.3278688524590164,Unibet,Kaja Juvan,True,False,-0.05250653361843671,0.396768828700404,1
2023-01-16,2023-01-16,Nadia Podoroska,Leolia Jeanjean,Leolia Jeanjean,Nadia Podoroska,1.86,1.95,0.5376344086021505,0.5128205128205129,Unibet,Nadia Podoroska,False,True,-0.05045492142266328,0.024813895781637618,0
2023-01-16,2023-01-16,Jelena Ostapenko,Dayana Yastremska,Dayana Yastremska,Jelena Ostapenko,2.96,1.47,0.3378378378378378,0.6802721088435374,Matchbook,Jelena Ostapenko,False,True,-0.018109946681375222,-0.3424342710056996,0
2023-01-16,2023-01-16,Anna Karolina Schmiedlova,Martina Trevisan,Anna Karolina Schmiedlova,Martina Trevisan,1.87,1.87,0.53475935828877,0.53475935828877,SportsBet,Anna Karolina Schmiedlova,True,False,-0.06951871657753994,0.0,1
2023-01-16,2023-01-16,Camila Giorgi,Anastasia Pavlyuchenkova,Anastasia Pavlyuchenkova,Camila Giorgi,2.0,1.86,0.5,0.5376344086021505,FanDuel,Camila Giorgi,False,True,-0.037634408602150504,-0.037634408602150504,0
2023-01-16,2023-01-16,Iga Swiatek,Jule Niemeier,Iga Swiatek,Jule Niemeier,1.06,9.1,0.9433962264150942,0.1098901098901098,1xBet,Iga Swiatek,True,False,-0.053286336305204074,0.8335061165249844,1
2023-01-16,2023-01-16,Madison Keys,Anna Blinkova,Anna Blinkova,Madison Keys,4.3,1.22,0.2325581395348837,0.819672131147541,DraftKings,Madison Keys,False,True,-0.052230270682424695,-0.5871139916126573,0
2023-01-16,2023-01-16,Qinwen Zheng,Dalma Galfi,Dalma Galfi,Qinwen Zheng,6.75,1.12,0.1481481481481481,0.8928571428571428,Unibet,Qinwen Zheng,False,True,-0.041005291005290934,-0.7447089947089947,0
2023-01-16,2023-01-16,Barbora Krejcikova,Sara Bejlek,Barbora Krejcikova,Sara Bejlek,1.18,4.5,0.8474576271186441,0.2222222222222222,Paddy Power,Barbora Krejcikova,True,False,-0.06967984934086635,0.6252354048964219,1
