market_id,player_1,player_2,odds_player_1,odds_player_2,actual_winner,winner_name,loser_name,match_date,player_1_clean,player_2_clean,selection_id_1,selection_id_2,implied_prob_1,implied_prob_2,odds_margin,implied_diff
1.208567823,Alex Molcan,Stan Wawrinka,1.01,11.5,Alex Molcan,Alex Molcan,Stan Wawrinka,2023-01-16,alex molcan,stan wawrinka,8960879,19924832,0.9900990099009901,0.08695652173913043,0.07705553164012047,0.9031424881618597
1.208567829,Nikoloz Basilashvili,Taylor Fritz,23.0,1.04,Taylor Fritz,Taylor Fritz,Nikoloz Basilashvili,2023-01-16,nikoloz basilashvili,taylor fritz,8257807,10279360,0.043478260869565216,0.9615384615384615,0.0050167224080266415,-0.9180602006688963
1.208567847,Corentin Moutet,Yibing Wu,1.01,21.0,Corentin Moutet,Corentin Moutet,Yibing Wu,2023-01-16,corentin moutet,yibing wu,8842291,9633377,0.9900990099009901,0.047619047619047616,0.03771805752003776,0.9424799622819424
1.208567853,Quentin Halys,Stefanos Tsitsipas,65.0,1.01,Stefanos Tsitsipas,Stefanos Tsitsipas,Quentin Halys,2023-01-16,quentin halys,stefanos tsitsipas,7287690,9193006,0.015384615384615385,0.9900990099009901,0.00548362528560542,-0.9747143945163748
1.208567859,Lorenzo Sonego,Nuno Borges,1.32,4.1,Lorenzo Sonego,Lorenzo Sonego,Nuno Borges,2023-01-16,lorenzo sonego,nuno borges,8826925,9633043,0.7575757575757576,0.24390243902439027,0.0014781966001478075,0.5136733185513673
1.208567865,Sebastian Korda,Cristian Garin,1.09,11.0,Sebastian Korda,Sebastian Korda,Cristian Garin,2023-01-16,sebastian korda,cristian garin,10902223,23814703,0.9174311926605504,0.09090909090909091,0.008340283569641338,0.8265221017514595
1.208567871,Pedro Martinez,Hubert Hurkacz,21.0,1.05,Hubert Hurkacz,Hubert Hurkacz,Pedro Martinez,2023-01-16,pedro martinez,hubert hurkacz,13181195,19924838,0.047619047619047616,0.9523809523809523,0.0,-0.9047619047619047
1.208567877,Daniel Altmaier,Frances Tiafoe,12.5,1.1,Frances Tiafoe,Frances Tiafoe,Daniel Altmaier,2023-01-16,daniel altmaier,frances tiafoe,9632088,19924839,0.08,0.9090909090909091,-0.01090909090909098,-0.8290909090909091
1.208567889,Ilya Ivashka,Botic Van de Zandschulp,75.0,1.01,Botic Van De Zandschulp,Botic Van De Zandschulp,Ilya Ivashka,2023-01-16,ilya ivashka,botic van de zandschulp,19924837,40921814,0.013333333333333334,0.9900990099009901,0.0034323432343235094,-0.9767656765676568
1.20857502,Diego Schwartzman,Oleksii Krutykh,1.71,8.6,Diego Schwartzman,Diego Schwartzman,Oleksii Krutykh,2023-01-16,diego schwartzman,oleksii krutykh,8736474,19064021,0.5847953216374269,0.11627906976744186,-0.2989256085951313,0.468516251869985
