match_id,player,odds,pred_prob,ev,actual_winner,won,expected_value,predicted_prob,winner
,John Isner,1.4,0.874242543634299,0.2239395610880185,John Isner,True,0.2239395610880185,0.874242543634299,1
,Arthur Fils,1.08,0.9999999999993068,0.0799999999992512,Arthur Fils,True,0.0799999999992512,0.9999999999993068,1
,Michael Mmoh,2.88,1.0,1.88,Michael Mmoh,True,1.88,1.0,1
,Dominic Thiem,2.4,0.928573348220421,1.2285760357290103,Dominic Thiem,True,1.2285760357290103,0.928573348220421,1
,Lloyd Harris,1.42,0.8221830466762972,0.1674999262803418,Lloyd Harris,True,0.1674999262803418,0.8221830466762972,1
,Taylor Fritz,1.05,0.9999999999999571,0.0499999999999551,Taylor Fritz,True,0.0499999999999551,0.9999999999999571,1
,Diego Schwartzman,1.84,0.7504663168094775,0.3808580229294387,Arthur Rinderknech,False,0.3808580229294387,0.7504663168094775,0
,Constant Lestienne,2.16,0.6226750061119677,0.3449780132018503,Daniel Altmaier,False,0.3449780132018503,0.6226750061119677,0
,Carlos Alcaraz,1.02,1.0,0.02,Carlos Alcaraz,True,0.02,1.0,1
,Borna Gojo,1.13,0.9999895671913622,0.1299882109262392,Borna Gojo,True,0.1299882109262392,0.9999895671913622,1
,Alexei Popyrin,1.58,0.8310835195134548,0.3131119608312587,Dominic Stricker,False,0.3131119608312587,0.8310835195134548,0
,Tommy Paul,1.07,1.0,0.07,Tommy Paul,True,0.07,1.0,1
,Casper Ruud,1.2,0.913608899709932,0.0963306796519183,Casper Ruud,True,0.0963306796519183,0.913608899709932,1
,Francisco Cerundolo,1.43,0.9744028386823532,0.3933960593157649,Francisco Cerundolo,True,0.3933960593157649,0.9744028386823532,1
,Jiri Vesely,1.32,0.8911937712245022,0.1763757780163429,Jiri Vesely,True,0.1763757780163429,0.8911937712245022,1
,Jakub Mensik,1.01,1.0,0.01,Jakub Mensik,True,0.01,1.0,1
,Hugo Gaston,1.03,1.0,0.03,Hugo Gaston,True,0.03,1.0,1
,Lorenzo Sonego,1.3,0.8947428539844371,0.1631657101797682,Lorenzo Sonego,True,0.1631657101797682,0.8947428539844371,1
,Yu Hsiou Hsu,1.01,1.0,0.01,Yu Hsiou Hsu,True,0.01,1.0,1
,Tomas Martin Etcheverry,1.63,0.92698087002393,0.5109788181390057,Tomas Martin Etcheverry,True,0.5109788181390057,0.92698087002393,1
,James Duckworth,2.14,0.6314443127505307,0.3512908292861357,Felipe Meligeni Alves,False,0.3512908292861357,0.6314443127505307,0
,Ben Shelton,1.01,1.0,0.01,Ben Shelton,True,0.01,1.0,1
,Adrian Mannarino,1.41,0.8723892733896395,0.2300688754793915,Adrian Mannarino,True,0.2300688754793915,0.8723892733896395,1
,Alejandro Davidovich Fokina,1.1,0.9312452234679582,0.0243697458147541,Alejandro Davidovich Fokina,True,0.0243697458147541,0.9312452234679582,1
,Casper Ruud,1.25,0.9917048815593584,0.2396311019491981,Zhizhen Zhang,False,0.2396311019491981,0.9917048815593584,0
,Rinky Hijikata,3.4,1.0,2.4,Rinky Hijikata,True,2.4,1.0,1
,Titouan Droguet,2.2,0.6043337847659316,0.3295343264850495,Jakub Mensik,False,0.3295343264850495,0.6043337847659316,0
,Laslo Djere,1.68,0.9717640502196334,0.6325636043689841,Laslo Djere,True,0.6325636043689841,0.9717640502196334,1
,Benjamin Bonzi,1.04,0.9999998791340692,0.0399998742994321,Benjamin Bonzi,True,0.0399998742994321,0.9999998791340692,1
,Borna Gojo,1.01,1.0,0.01,Borna Gojo,True,0.01,1.0,1
,Andrey Rublev,1.15,0.9219778750626896,0.060274556322093,Andrey Rublev,True,0.060274556322093,0.9219778750626896,1
,Arthur Rinderknech,5.2,1.0,4.2,Arthur Rinderknech,True,4.2,1.0,1
,Daniil Medvedev,1.05,1.0,0.05,Daniil Medvedev,True,0.05,1.0,1
,Nicolas Jarry,1.59,0.8280989844069753,0.3166773852070907,Nicolas Jarry,True,0.3166773852070907,0.8280989844069753,1
,Matteo Arnaldi,2.5,0.4664044598785908,0.1660111496964771,Matteo Arnaldi,True,0.1660111496964771,0.4664044598785908,1
,Alexander Zverev,1.1,0.9999999970491236,0.099999996754036,Alexander Zverev,True,0.099999996754036,0.9999999970491236,1
,Cameron Norrie,1.14,0.9999682079314952,0.1399637570419043,Cameron Norrie,True,0.1399637570419043,0.9999682079314952,1
,Dominic Stricker,1.09,0.99999998110768,0.0899999794073712,Dominic Stricker,True,0.0899999794073712,0.99999998110768,1
,Sebastian Baez,1.1,0.9482200632752706,0.0430420696027977,Sebastian Baez,True,0.0430420696027977,0.9482200632752706,1
,Grigor Dimitrov,1.87,1.0,0.8700000000000001,Grigor Dimitrov,True,0.8700000000000001,1.0,1
,Michael Mmoh,1.17,0.9998595121233146,0.169835629184278,Michael Mmoh,True,0.169835629184278,0.9998595121233146,1
