tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,match_date,market_id,market_time,market_name,runner_1,runner_2,player_1,player_2,actual_winner,odds_player_1,odds_player_2,selection_id_1,selection_id_2,odds_margin,implied_prob_diff,player_1_lc,player_2_lc,won
2023-580,Australian Open,Hard,128,G,2023-01-16,104,111575,18.0,,Karen Khachanov,R,198.0,RUS,26.6,126523,,,Bernabe Zapata Miralles,R,183.0,ESP,26.0,7-6(3) 6-2 6-0,5,R128,122.0,11.0,1.0,90.0,68.0,50.0,14.0,13.0,6.0,7.0,1.0,1.0,91.0,56.0,33.0,12.0,13.0,6.0,12.0,20.0,1885.0,72.0,712.0,2023-01-16,1.2085677,2023-01-16 02:20:00+00:00,Match Odds,Karen Khachanov,Bernabe Zapata Miralles,Bernabe Zapata Miralles,Karen Khachanov,Karen Khachanov,21.0,21.0,7659623,9630472,0.0952380952380952,0.0,karen khachanov,bernabe zapata miralles,0.0
2023-580,Australian Open,Hard,128,G,2023-01-16,104,111575,18.0,,Karen Khachanov,R,198.0,RUS,26.6,126523,,,Bernabe Zapata Miralles,R,183.0,ESP,26.0,7-6(3) 6-2 6-0,5,R128,122.0,11.0,1.0,90.0,68.0,50.0,14.0,13.0,6.0,7.0,1.0,1.0,91.0,56.0,33.0,12.0,13.0,6.0,12.0,20.0,1885.0,72.0,712.0,2023-01-16,1.2085677,2023-01-16 02:20:00+00:00,Match Odds,Karen Khachanov,Bernabe Zapata Miralles,Karen Khachanov,Bernabe Zapata Miralles,Karen Khachanov,21.0,21.0,7659623,9630472,0.0952380952380952,0.0,karen khachanov,bernabe zapata miralles,1.0
2023-580,Australian Open,Hard,128,G,2023-01-16,105,106186,,WC,Jason Kubler,R,178.0,AUS,29.6,202104,,,Sebastian Baez,R,170.0,ARG,22.0,6-4 6-4 6-4,5,R128,136.0,6.0,2.0,86.0,53.0,45.0,19.0,15.0,3.0,3.0,0.0,3.0,80.0,61.0,40.0,11.0,15.0,0.0,3.0,84.0,633.0,44.0,975.0,2023-01-16,1.20856762,2023-01-16 04:40:00+00:00,Match Odds,Sebastian Baez,Jason Kubler,Jason Kubler,Sebastian Baez,Jason Kubler,1.36,3.65,4448756,11285506,1.0092667203867849,0.4613215149073327,jason kubler,sebastian baez,1.0
2023-580,Australian Open,Hard,128,G,2023-01-16,106,209992,,Q,Juncheng Shang,L,180.0,CHN,17.9,106214,,,Oscar Otte,R,193.0,GER,29.5,6-2 6-4 6-7(2) 7-5,5,R128,176.0,3.0,0.0,128.0,92.0,72.0,21.0,21.0,2.0,2.0,19.0,7.0,129.0,84.0,67.0,19.0,21.0,9.0,13.0,194.0,289.0,74.0,701.0,2023-01-16,1.208575164,2023-01-16 00:10:00+00:00,Match Odds,Oscar Otte,Juncheng Shang,Juncheng Shang,Oscar Otte,Juncheng Shang,1.09,4.5,38901959,9624731,1.1396534148827726,0.6952089704383282,juncheng shang,oscar otte,1.0
2023-580,Australian Open,Hard,128,G,2023-01-16,107,126207,16.0,,Frances Tiafoe,R,188.0,USA,24.9,127157,,,Daniel Altmaier,R,188.0,GER,24.3,6-3 6-3 6-7(5) 7-6(6),5,R128,199.0,24.0,3.0,129.0,81.0,68.0,31.0,21.0,7.0,8.0,17.0,2.0,154.0,93.0,65.0,33.0,21.0,12.0,16.0,17.0,2260.0,92.0,584.0,2023-01-16,1.208567877,2023-01-16 02:30:00+00:00,Match Odds,Daniel Altmaier,Frances Tiafoe,Daniel Altmaier,Frances Tiafoe,Frances Tiafoe,1.1,12.5,19924839,9632088,0.989090909090909,0.8290909090909091,frances tiafoe,daniel altmaier,0.0
2023-580,Australian Open,Hard,128,G,2023-01-16,107,126207,16.0,,Frances Tiafoe,R,188.0,USA,24.9,127157,,,Daniel Altmaier,R,188.0,GER,24.3,6-3 6-3 6-7(5) 7-6(6),5,R128,199.0,24.0,3.0,129.0,81.0,68.0,31.0,21.0,7.0,8.0,17.0,2.0,154.0,93.0,65.0,33.0,21.0,12.0,16.0,17.0,2260.0,92.0,584.0,2023-01-16,1.208567877,2023-01-16 02:30:00+00:00,Match Odds,Daniel Altmaier,Frances Tiafoe,Frances Tiafoe,Daniel Altmaier,Frances Tiafoe,1.1,12.5,19924839,9632088,0.989090909090909,0.8290909090909091,frances tiafoe,daniel altmaier,1.0
2023-580,Australian Open,Hard,128,G,2023-01-16,107,126207,16.0,,Frances Tiafoe,R,188.0,USA,24.9,127157,,,Daniel Altmaier,R,188.0,GER,24.3,6-3 6-3 6-7(5) 7-6(6),5,R128,199.0,24.0,3.0,129.0,81.0,68.0,31.0,21.0,7.0,8.0,17.0,2.0,154.0,93.0,65.0,33.0,21.0,12.0,16.0,17.0,2260.0,92.0,584.0,2023-01-16,1.208567877,2023-01-16 02:30:00+00:00,Match Odds,Daniel Altmaier,Frances Tiafoe,Daniel Altmaier,Frances Tiafoe,Frances Tiafoe,1.1,12.5,19924839,9632088,0.989090909090909,0.8290909090909091,frances tiafoe,daniel altmaier,0.0
2023-580,Australian Open,Hard,128,G,2023-01-16,107,126207,16.0,,Frances Tiafoe,R,188.0,USA,24.9,127157,,,Daniel Altmaier,R,188.0,GER,24.3,6-3 6-3 6-7(5) 7-6(6),5,R128,199.0,24.0,3.0,129.0,81.0,68.0,31.0,21.0,7.0,8.0,17.0,2.0,154.0,93.0,65.0,33.0,21.0,12.0,16.0,17.0,2260.0,92.0,584.0,2023-01-16,1.208567877,2023-01-16 02:30:00+00:00,Match Odds,Daniel Altmaier,Frances Tiafoe,Frances Tiafoe,Daniel Altmaier,Frances Tiafoe,1.1,12.5,19924839,9632088,0.989090909090909,0.8290909090909091,frances tiafoe,daniel altmaier,1.0
2023-580,Australian Open,Hard,128,G,2023-01-16,108,128034,10.0,,Hubert Hurkacz,R,196.0,POL,25.9,124079,,,Pedro Martinez,R,185.0,ESP,25.7,7-6(1) 6-2 6-2,5,R128,109.0,24.0,1.0,70.0,51.0,46.0,14.0,14.0,0.0,0.0,0.0,4.0,84.0,61.0,38.0,10.0,14.0,0.0,4.0,11.0,2860.0,60.0,801.0,2023-01-16,1.208567871,2023-01-16 01:30:00+00:00,Match Odds,Hubert Hurkacz,Pedro Martinez,Pedro Martinez,Hubert Hurkacz,Hubert Hurkacz,1.05,1.05,19924838,13181195,1.9047619047619049,0.0,hubert hurkacz,pedro martinez,0.0
2023-580,Australian Open,Hard,128,G,2023-01-16,108,128034,10.0,,Hubert Hurkacz,R,196.0,POL,25.9,124079,,,Pedro Martinez,R,185.0,ESP,25.7,7-6(1) 6-2 6-2,5,R128,109.0,24.0,1.0,70.0,51.0,46.0,14.0,14.0,0.0,0.0,0.0,4.0,84.0,61.0,38.0,10.0,14.0,0.0,4.0,11.0,2860.0,60.0,801.0,2023-01-16,1.208567871,2023-01-16 01:30:00+00:00,Match Odds,Hubert Hurkacz,Pedro Martinez,Pedro Martinez,Hubert Hurkacz,Hubert Hurkacz,1.05,21.0,19924838,13181195,1.0,0.9047619047619048,hubert hurkacz,pedro martinez,0.0
