matchup+side,bets,wins,winrate,total_staked,profit,roi
Anastasia Pavlyuchenkova vs Fiona Crawley (p2),1,0,0.0,21.03,-21.03,-100.0
Daniel Evans vs Quentin Halys (p1),1,0,0.0,23.74,-23.74,-100.0
Mirra Andreeva vs Olivia Gadecki (p2),1,0,0.0,23.26,-23.26,-100.0
Alejandro Davidovich Fokina vs Marcos Giron (p2),1,0,0.0,25.68,-25.68,-100.0
Casper Ruud vs Emilio Nava (p2),1,0,0.0,26.83,-26.83,-100.0
Ben Shelton vs Pedro Cachin (p2),1,0,0.0,24.66,-24.66,-100.0
Adrian Mannarino vs Yosuke Watanuki (p2),1,0,0.0,25.17,-25.17,-100.0
Marco Cecchinato vs Roman Safiullin (p1),1,0,0.0,25.17,-25.17,-100.0
Bernabe Zapata Miralles vs Ethan Quinn (p2),1,0,0.0,25.69,-25.69,-100.0
Alexander Shevchenko vs Cameron Norrie (p1),1,0,0.0,27.41,-27.41,-100.0
Guido Pella vs Lloyd Harris (p1),1,0,0.0,27.97,-27.97,-100.0
Daniel Elahi Galan vs Daniel Evans (p1),1,0,0.0,28.54,-28.54,-100.0
Milos Raonic vs Stefanos Tsitsipas (p1),1,0,0.0,26.29,-26.29,-100.0
Aleksandar Vukic vs Alexander Zverev (p1),1,0,0.0,29.59,-29.59,-100.0
Luca Van Assche vs Nicolas Jarry (p1),1,0,0.0,29.0,-29.0,-100.0
Alex Molcan vs Grigor Dimitrov (p1),1,0,0.0,26.86,-26.86,-100.0
Arantxa Rus vs Madison Keys (p1),1,0,0.0,28.43,-28.43,-100.0
Lorenzo Sonego vs Nicolas Moreno De Alboran (p2),1,0,0.0,27.85,-27.85,-100.0
Gael Monfils vs Taro Daniel (p2),1,0,0.0,28.42,-28.42,-100.0
Adrian Mannarino vs Fabian Marozsan (p2),1,0,0.0,28.38,-28.38,-100.0
Alejandro Davidovich Fokina vs Juan Manuel Cerundolo (p2),1,0,0.0,27.29,-27.29,-100.0
Facundo Diaz Acosta vs John Isner (p1),1,0,0.0,27.81,-27.81,-100.0
Otto Virtanen vs Tomas Martin Etcheverry (p1),1,0,0.0,27.25,-27.25,-100.0
Jack Draper vs Radu Albot (p2),1,0,0.0,26.71,-26.71,-100.0
Frances Tiafoe vs Sebastian Ofner (p2),1,0,0.0,26.17,-26.17,-100.0
