market_id,player_1,player_2,odds_player_1_x,odds_player_2_x,actual_winner,winner_name,loser_name,match_date,player_1_clean,player_2_clean,selection_id_1,selection_id_2,odds_player_1_y,odds_player_2_y
1.211208921,Karen Khachanov,Alejandro Davidovich Fokina,3.9,1.01,Alejandro Davidovich Fokina,Alejandro Davidovich Fokina,Karen Khachanov,2023-03-06,karen khachanov,alejandro davidovich fokina,7659623,9953368,3.9,1.01
1.211210134,Taro Daniel,Cameron Norrie,290.0,1.27,Cameron Norrie,Cameron Norrie,Taro Daniel,2023-03-06,taro daniel,cameron norrie,8173434,42669524,290.0,1.27
1.211211408,Jason Kubler,Frances Tiafoe,4.3,1.3,Frances Tiafoe,Frances Tiafoe,Jason Kubler,2023-03-06,jason kubler,frances tiafoe,4448756,19924839,4.3,1.3
1.21121294,Andrey Rublev,Ugo Humbert,1.29,4.4,Andrey Rublev,Andrey Rublev,Ugo Humbert,2023-03-06,andrey rublev,ugo humbert,7797771,9633253,1.29,4.4
1.211259816,Marton Fucsovics,Alex Molcan,1.7,2.42,Marton Fucsovics,Marton Fucsovics,Alex Molcan,2023-03-06,marton fucsovics,alex molcan,4827766,8960879,1.7,2.42
1.211261422,Andy Murray,Jack Draper,26.0,1.76,Jack Draper,Jack Draper,Andy Murray,2023-03-06,andy murray,jack draper,2256509,15313804,26.0,1.76
1.211267188,Francisco Cerundolo,Felix Auger-Aliassime,5.5,1.03,Felix Auger Aliassime,Felix Auger Aliassime,Francisco Cerundolo,2023-03-06,francisco cerundolo,felix auger aliassime,11204210,12210252,5.5,1.03
1.211267602,Adrian Mannarino,Jannik Sinner,8.6,1.13,Jannik Sinner,Jannik Sinner,Adrian Mannarino,2023-03-06,adrian mannarino,jannik sinner,3066621,10372253,8.6,1.13
1.211269975,Taylor Fritz,Sebastian Baez,1.16,7.6,Taylor Fritz,Taylor Fritz,Sebastian Baez,2023-03-06,taylor fritz,sebastian baez,10279360,11285506,1.16,7.6
1.211271699,Stan Wawrinka,Holger Rune,1.01,50.0,Stan Wawrinka,Stan Wawrinka,Holger Rune,2023-03-06,stan wawrinka,holger rune,19924832,39127965,1.01,50.0
1.211272368,Tallon Griekspoor,Carlos Alcaraz,8.4,1.01,Carlos Alcaraz,Carlos Alcaraz,Tallon Griekspoor,2023-03-06,tallon griekspoor,carlos alcaraz,9198585,25215583,8.4,1.01
1.211316177,Alejandro Davidovich Fokina,Cristian Garin,1.6,2.68,Alejandro Davidovich Fokina,Alejandro Davidovich Fokina,Cristian Garin,2023-03-06,alejandro davidovich fokina,cristian garin,9953368,23814703,1.6,2.68
1.211319971,Andrey Rublev,Cameron Norrie,100.0,2.42,Cameron Norrie,Cameron Norrie,Andrey Rublev,2023-03-06,andrey rublev,cameron norrie,7797771,42669524,100.0,2.42
1.211323287,Alexander Zverev,Daniil Medvedev,4.2,1.32,Daniil Medvedev,Daniil Medvedev,Alexander Zverev,2023-03-06,alexander zverev,daniil medvedev,19924823,19924831,4.2,1.32
1.211323761,Alejandro Tabilo,Frances Tiafoe,5.3,1.23,Frances Tiafoe,Frances Tiafoe,Alejandro Tabilo,2023-03-06,alejandro tabilo,frances tiafoe,9630879,19924839,5.3,1.23
1.211365067,Tommy Paul,Felix Auger-Aliassime,5.0,1.37,Felix Auger Aliassime,Felix Auger Aliassime,Tommy Paul,2023-03-06,tommy paul,felix auger aliassime,8859306,12210252,5.0,1.37
1.211369522,Marton Fucsovics,Taylor Fritz,5.0,1.02,Taylor Fritz,Taylor Fritz,Marton Fucsovics,2023-03-06,marton fucsovics,taylor fritz,4827766,10279360,5.0,1.02
1.211372673,Jannik Sinner,Stan Wawrinka,1.02,50.0,Jannik Sinner,Jannik Sinner,Stan Wawrinka,2023-03-06,jannik sinner,stan wawrinka,10372253,19924832,1.02,50.0
1.211376831,Jack Draper,Carlos Alcaraz,1000.0,1.36,Carlos Alcaraz,Carlos Alcaraz,Jack Draper,2023-03-06,jack draper,carlos alcaraz,15313804,25215583,1000.0,1.36
1.211398854,Alejandro Davidovich Fokina,Daniil Medvedev,190.0,1.01,Daniil Medvedev,Daniil Medvedev,Alejandro Davidovich Fokina,2023-03-06,alejandro davidovich fokina,daniil medvedev,9953368,19924831,190.0,1.01
1.211406701,Frances Tiafoe,Cameron Norrie,2.62,110.0,Frances Tiafoe,Frances Tiafoe,Cameron Norrie,2023-03-06,frances tiafoe,cameron norrie,19924839,42669524,2.62,110.0
1.211410938,Taylor Fritz,Jannik Sinner,100.0,1.01,Jannik Sinner,Jannik Sinner,Taylor Fritz,2023-03-06,taylor fritz,jannik sinner,10279360,10372253,100.0,1.01
1.211417458,Felix Auger-Aliassime,Carlos Alcaraz,120.0,1.45,Carlos Alcaraz,Carlos Alcaraz,Felix Auger Aliassime,2023-03-06,felix auger aliassime,carlos alcaraz,12210252,25215583,120.0,1.45
1.211449718,Daniil Medvedev,Frances Tiafoe,1.01,1000.0,Daniil Medvedev,Daniil Medvedev,Frances Tiafoe,2023-03-06,daniil medvedev,frances tiafoe,19924831,19924839,1.01,1000.0
1.211488739,Jannik Sinner,Carlos Alcaraz,600.0,1.67,Carlos Alcaraz,Carlos Alcaraz,Jannik Sinner,2023-03-06,jannik sinner,carlos alcaraz,10372253,25215583,600.0,1.67
