market_id,player_1,player_2,odds_player_1_x,odds_player_2_x,actual_winner,winner_name,loser_name,match_date,player_1_clean,player_2_clean,selection_id_1,selection_id_2,odds_player_1_y,odds_player_2_y
1.215849997,Petra Kvitova,Aliaksandra Sasnovich,1.28,5.2,Petra Kvitova,Petra Kvitova,Aliaksandra Sasnovich,2023-07-03,petra kvitova,aliaksandra sasnovich,2497008,7283310,1.28,5.2
1.215850001,Anna Blinkova,Irinia-Camelia Begu,1.01,100.0,Anna Blinkova,Anna Blinkova,Irina Camelia Begu,2023-07-03,anna blinkova,irinia camelia begu,9635244,18309994,1.01,100.0
1.215850838,Victoria Azarenka,Daria Kasatkina,1.12,11.0,Victoria Azarenka,Victoria Azarenka,Daria Kasatkina,2023-07-03,victoria azarenka,daria kasatkina,2263640,7795290,1.12,11.0
1.215851864,Madison Keys,Viktorija Golubic,1.2,190.0,Madison Keys,Madison Keys,Viktorija Golubic,2023-07-03,madison keys,viktorija golubic,3800907,7283232,1.2,190.0
1.215852097,Anhelina Kalinina,Bianca Andreescu,8.0,1.15,Bianca Andreescu,Bianca Andreescu,Anhelina Kalinina,2023-07-03,anhelina kalinina,bianca andreescu,8907168,10141729,8.0,1.15
1.215854139,Beatriz Haddad Maia,Sorana Cirstea ,1.81,1000.0,Beatriz Haddad Maia,Beatriz Haddad Maia,Sorana Cirstea,2023-07-03,beatriz haddad maia,sorana cirstea,7083752,51395204,1.81,1000.0
1.215854413,Caroline Garcia,Marie Bouzkova,8.0,1.01,Marie Bouzkova,Marie Bouzkova,Caroline Garcia,2023-07-03,caroline garcia,marie bouzkova,5248977,8442764,8.0,1.01
1.215854896,Belinda Bencic,Magda Linette,1.39,3.55,Belinda Bencic,Belinda Bencic,Magda Linette,2023-07-03,belinda bencic,magda linette,6390244,7083215,1.39,3.55
1.215855133,Donna Vekic,Marketa Vondrousova,40.0,1.9,Marketa Vondrousova,Marketa Vondrousova,Donna Vekic,2023-07-03,donna vekic,marketa vondrousova,6603944,9433253,40.0,1.9
1.215856645,Katie Boulter,Elena Rybakina,950.0,1.16,Elena Rybakina,Elena Rybakina,Katie Boulter,2023-07-03,katie boulter,elena rybakina,8619018,10349398,950.0,1.16
1.215856906,Jessica Pegula,Elisabetta Cocciaretto,1.28,4.7,Jessica Pegula,Jessica Pegula,Elisabetta Cocciaretto,2023-07-03,jessica pegula,elisabetta cocciaretto,6215852,18848114,1.28,4.7
