market_id,player_1,player_2,odds_player_1,odds_player_2,actual_winner,winner_name,loser_name,match_date,player_1_clean,player_2_clean,selection_id_1,selection_id_2,implied_prob_1,implied_prob_2,odds_margin,implied_diff
1.213672894,Jan-Lennard Struff,Pedro Cachin,,,Jan Lennard Struff,Jan Lennard Struff,Pedro Cachin,2023-04-24,jan lennard struff,pedro cachin,8259098,8461316,,,,
1.21368697,Stefanos Tsitsipas,Bernabe Zapata Miralles,,,Stefanos Tsitsipas,Stefanos Tsitsipas,Bernabe Zapata Miralles,2023-04-24,stefanos tsitsipas,bernabe zapata miralles,9193006,9630472,,,,
1.213689094,Zhizhen Zhang,Taylor Fritz,,,Zhizhen Zhang,Zhizhen Zhang,Taylor Fritz,2023-04-24,zhizhen zhang,taylor fritz,9628959,10279360,,,,
1.213718849,Karen Khachanov,Carlos Alcaraz,,,Carlos Alcaraz,Carlos Alcaraz,Karen Khachanov,2023-04-24,karen khachanov,carlos alcaraz,7659623,25215583,,,,
1.213719372,Borna Coric,Daniel Altmaier,,,Borna Coric,Borna Coric,Daniel Altmaier,2023-04-24,borna coric,daniel altmaier,7446579,9632088,,,,
1.21372631,Aslan Karatsev,Zhizhen Zhang,,,Aslan Karatsev,Aslan Karatsev,Zhizhen Zhang,2023-04-24,aslan karatsev,zhizhen zhang,7659748,9628959,,,,
1.213730077,Jan-Lennard Struff,Stefanos Tsitsipas,,,Jan Lennard Struff,Jan Lennard Struff,Stefanos Tsitsipas,2023-04-24,jan lennard struff,stefanos tsitsipas,8259098,9193006,,,,
1.213767342,Borna Coric,Carlos Alcaraz,,,Carlos Alcaraz,Carlos Alcaraz,Borna Coric,2023-04-24,borna coric,carlos alcaraz,7446579,25215583,,,,
1.213806507,Aslan Karatsev,Jan-Lennard Struff,,,Jan Lennard Struff,Jan Lennard Struff,Aslan Karatsev,2023-04-24,aslan karatsev,jan lennard struff,7659748,8259098,,,,
1.213849136,Jan-Lennard Struff,Carlos Alcaraz,,,Carlos Alcaraz,Carlos Alcaraz,Jan Lennard Struff,2023-04-24,jan lennard struff,carlos alcaraz,8259098,25215583,,,,
