market_id,player_1,player_2,odds_player_1_x,odds_player_2_x,actual_winner,winner_name,loser_name,match_date,player_1_clean,player_2_clean,selection_id_1,selection_id_2,odds_player_1_y,odds_player_2_y,odds_player_1,odds_player_2,implied_prob_1,implied_prob_2,odds_margin,implied_diff
1.217529085,Veronika Kudermetova,Bernarda Pera,10.0,1.11,Bernarda Pera,Bernarda Pera,Veronika Kudermetova,2023-08-28,veronika kudermetova,bernarda pera,8279497,8784983,10.0,1.11,10.0,1.11,0.1,0.9009009009009008,1.000900900900901,-0.8009009009009008
1.217529734,Karolina Muchova,Storm Hunter,1.09,11.5,Karolina Muchova,Karolina Muchova,Storm Hunter,2023-08-28,karolina muchova,storm hunter,9632758,50836638,1.09,11.5,1.09,10.0,0.9174311926605504,0.1,1.0174311926605504,0.8174311926605504
1.217530241,Elina Svitolina,Anna-Lena Friedsam,1.17,7.4,Elina Svitolina,Elina Svitolina,Anna Lena Friedsam,2023-08-28,elina svitolina,anna lena friedsam,6324464,7593369,1.17,7.4,1.17,7.4,0.8547008547008548,0.13513513513513511,0.9898359898359899,0.7195657195657197
1.217530687,Sloane Stephens,Beatriz Haddad Maia,2.0,2.0,Beatriz Haddad Maia,Beatriz Haddad Maia,Sloane Stephens,2023-08-28,sloane stephens,beatriz haddad maia,2923342,7083752,2.0,2.0,2.0,2.0,0.5,0.5,1.0,0.0
1.21760716,Caroline Wozniacki,Tatiana Prozorova,1.29,4.4,Caroline Wozniacki,Caroline Wozniacki,Tatiana Prozorova,2023-08-28,caroline wozniacki,tatiana prozorova,2309522,56153980,1.29,4.4,1.29,4.4,0.7751937984496123,0.22727272727272727,1.0024665257223395,0.547921071176885
1.217607163,Laura Siegemund,Cori Gauff,21.0,1.05,Coco Gauff,Coco Gauff,Laura Siegemund,2023-08-28,laura siegemund,cori gauff,4829328,19249131,21.0,1.05,10.0,1.05,0.1,0.9523809523809523,1.0523809523809524,-0.8523809523809524
1.217607167,Olivia Gadecki,Mirra Andreeva,3.6,1.07,Mirra Andreeva,Mirra Andreeva,Olivia Gadecki,2023-08-28,olivia gadecki,mirra andreeva,11861440,49006396,3.6,1.07,3.6,1.07,0.2777777777777778,0.9345794392523364,1.2123572170301142,-0.6568016614745587
1.217607427,Kaja Juvan,Elisabetta Cocciaretto,2.3,12.0,Kaja Juvan,Kaja Juvan,Elisabetta Cocciaretto,2023-08-28,kaja juvan,elisabetta cocciaretto,9635566,18848114,2.3,12.0,2.3,10.0,0.4347826086956522,0.1,0.5347826086956522,0.33478260869565224
1.217607428,Margarita Gasparyan,Yuriko Miyazaki,5.2,1.26,Yuriko Miyazaki,Yuriko Miyazaki,Margarita Gasparyan,2023-08-28,margarita gasparyan,yuriko miyazaki,6750186,9631280,5.2,1.26,5.2,1.26,0.1923076923076923,0.7936507936507936,0.9859584859584859,-0.6013431013431013
1.217607816,Katie Volynets,Xinyu Wang,2.98,1.01,Xin Yu Wang,Xin Yu Wang,Katie Volynets,2023-08-28,katie volynets,xinyu wang,13369546,13578400,2.98,1.01,2.98,1.01,0.33557046979865773,0.9900990099009901,1.3256694796996478,-0.6545285401023324
1.21760803,Kimberly Birrell,Jennifer Brady,26.0,1.04,Jennifer Brady,Jennifer Brady,Kimberly Birrell,2023-08-28,kimberly birrell,jennifer brady,8183109,8784966,26.0,1.04,10.0,1.04,0.1,0.9615384615384615,1.0615384615384615,-0.8615384615384615
1.217608184,Venus Williams,Greet Minnen,3.2,1.45,Greet Minnen,Greet Minnen,Venus Williams,2023-08-28,venus williams,greet minnen,2309518,10108736,3.2,1.45,3.2,1.45,0.3125,0.6896551724137931,1.0021551724137931,-0.37715517241379315
1.21760835,Vera Zvonareva,Yanina Wickmayer,2.34,1.81,Yanina Wickmayer,Yanina Wickmayer,Vera Zvonareva,2023-08-28,vera zvonareva,yanina wickmayer,2250861,2386943,2.34,1.81,2.34,1.81,0.4273504273504274,0.5524861878453039,0.9798366151957313,-0.1251357604948765
1.217608355,Karolina Pliskova,Elena-Gabriela Ruse,1.45,120.0,Karolina Pliskova,Karolina Pliskova,Elena Gabriela Ruse,2023-08-28,karolina pliskova,elena gabriela ruse,6199453,11439772,1.45,120.0,1.45,10.0,0.6896551724137931,0.1,0.7896551724137931,0.5896551724137932
1.217608547,Caroline Garcia,Yafan Wang,1.69,2.44,Yafan Wang,Yafan Wang,Caroline Garcia,2023-08-28,caroline garcia,yafan wang,5248977,7695509,1.69,2.44,1.69,2.44,0.591715976331361,0.4098360655737705,1.0015520419051316,0.18187991075759047
1.217608558,Eva Lys,Robin Montgomery,1.56,2.84,Eva Lys,Eva Lys,Robin Montgomery,2023-08-28,eva lys,robin montgomery,10943021,24143439,1.56,2.84,1.56,2.84,0.641025641025641,0.35211267605633806,0.993138317081979,0.2889129649693029
1.217608788,Na-Lae Han,Marketa Vondrousova,20.0,1.06,Marketa Vondrousova,Marketa Vondrousova,Na Lae Han,2023-08-28,na lae han,marketa vondrousova,8842650,9433253,20.0,1.06,10.0,1.06,0.1,0.9433962264150942,1.0433962264150942,-0.8433962264150943
