snapshot_date,match_date,winner,loser,player_1,player_2,odds_player_1,odds_player_2,implied_prob_1,implied_prob_2,bookmaker,actual_winner,p1_is_winner,p2_is_winner,odds_margin,implied_diff,won
2023-07-03,2023-07-03,Aslan Karatsev,Luca Van Assche,Aslan Karatsev,Luca Van Assche,1.63,2.28,0.6134969325153374,0.4385964912280702,Casumo,Aslan Karatsev,True,False,-0.05209342374340764,0.17490044128726723,1
2023-07-03,2023-07-03,Aslan Karatsev,Luca Van Assche,Aslan Karatsev,Luca Van Assche,1.63,2.28,0.6134969325153374,0.4385964912280702,Barstool Sportsbook,Aslan Karatsev,True,False,-0.05209342374340764,0.17490044128726723,1
2023-07-03,2023-07-03,Aslan Karatsev,Luca Van Assche,Aslan Karatsev,Luca Van Assche,1.63,2.28,0.6134969325153374,0.4385964912280702,BetRivers,Aslan Karatsev,True,False,-0.05209342374340764,0.17490044128726723,1
2023-07-03,2023-07-03,Aslan Karatsev,Luca Van Assche,Aslan Karatsev,Luca Van Assche,1.75,2.05,0.5714285714285714,0.4878048780487805,Neds,Aslan Karatsev,True,False,-0.059233449477351874,0.08362369337979092,1
2023-07-03,2023-07-03,Aslan Karatsev,Luca Van Assche,Aslan Karatsev,Luca Van Assche,1.77,2.1,0.5649717514124294,0.4761904761904761,LowVig.ag,Aslan Karatsev,True,False,-0.041162227602905554,0.08878127522195328,1
2023-07-03,2023-07-03,Aslan Karatsev,Luca Van Assche,Aslan Karatsev,Luca Van Assche,1.77,2.1,0.5649717514124294,0.4761904761904761,DraftKings,Aslan Karatsev,True,False,-0.041162227602905554,0.08878127522195328,1
2023-07-03,2023-07-03,Aslan Karatsev,Luca Van Assche,Aslan Karatsev,Luca Van Assche,1.77,2.05,0.5649717514124294,0.4878048780487805,TAB,Aslan Karatsev,True,False,-0.05277662946120998,0.07716687336364891,1
2023-07-03,2023-07-03,Aslan Karatsev,Luca Van Assche,Aslan Karatsev,Luca Van Assche,1.77,2.1,0.5649717514124294,0.4761904761904761,BetOnline.ag,Aslan Karatsev,True,False,-0.041162227602905554,0.08878127522195328,1
2023-07-03,2023-07-03,Aslan Karatsev,Luca Van Assche,Aslan Karatsev,Luca Van Assche,1.74,2.05,0.5747126436781609,0.4878048780487805,BetMGM,Aslan Karatsev,True,False,-0.06251752172694136,0.0869077656293804,1
2023-07-03,2023-07-03,Aslan Karatsev,Luca Van Assche,Aslan Karatsev,Luca Van Assche,1.73,2.1,0.5780346820809249,0.4761904761904761,PointsBet (AU),Aslan Karatsev,True,False,-0.054225158271401064,0.10184420589044879,1
