player,bets,wins,winrate,total_staked,profit,roi,avg_ev
Fiona Ferro,1,0,0.0,23.42,-23.42,-100.0,0.2994
Fiona Crawley,1,0,0.0,21.03,-21.03,-100.0,0.0728
Ethan Quinn,1,0,0.0,25.69,-25.69,-100.0,0.0889
Yosuke Watanuki,1,0,0.0,25.17,-25.17,-100.0,0.0924
Marco Cecchinato,1,0,0.0,25.17,-25.17,-100.0,1.8835
Emilio Nava,1,0,0.0,26.83,-26.83,-100.0,0.4839
Milos Raonic,1,0,0.0,26.29,-26.29,-100.0,0.3516
Guido Pella,1,0,0.0,27.97,-27.97,-100.0,0.1882
Alexander Shevchenko,1,0,0.0,27.41,-27.41,-100.0,0.5373
Arantxa Rus,1,0,0.0,28.43,-28.43,-100.0,0.0864
Aleksandar Vukic,1,0,0.0,29.59,-29.59,-100.0,1.4787
Taro Daniel,1,0,0.0,28.42,-28.42,-100.0,0.1952
Nicolas Moreno De Alboran,1,0,0.0,27.85,-27.85,-100.0,0.3396
Facundo Diaz Acosta,1,0,0.0,27.81,-27.81,-100.0,0.2039
Otto Virtanen,1,0,0.0,27.25,-27.25,-100.0,0.0785
