match,side,stake,odds,ev,win,profit,bankroll
Borna Coric vs Sebastian Baez,p2,4.969271377667424e+48,2.75,0.2299774949254074,True,8.696224910917993e+48,5.838893868759223e+49
Borna Coric vs Sebastian Baez,p2,5.838893868759223e+48,2.72,0.2213011513579906,True,1.0042897454265865e+49,6.84318361418581e+49
Borna Coric vs Sebastian Baez,p2,6.84318361418581e+48,2.75,0.2386743049551338,True,1.1975571324825167e+49,8.040740746668327e+49
Borna Coric vs Sebastian Baez,p2,8.040740746668327e+48,2.7,0.2155188586304733,True,1.3669259269336158e+49,9.407666673601942e+49
Borna Coric vs Sebastian Baez,p2,9.407666673601942e+48,2.78,0.2474427033067032,True,1.6745646679011454e+49,1.1082231341503088e+50
Borna Coric vs Sebastian Baez,p2,1.1082231341503088e+49,2.7,0.2240675935710748,True,1.8839793280555251e+49,1.2966210669558613e+50
Borna Coric vs Sebastian Baez,p2,1.2966210669558614e+49,2.75,0.2386743049551338,True,2.2690868671727575e+49,1.523529753673137e+50
Borna Coric vs Sebastian Baez,p2,1.523529753673137e+49,2.85,0.2855667357020098,True,2.818530044295304e+49,1.8053827581026674e+50
Borna Coric vs Sebastian Baez,p2,1.8053827581026676e+49,2.88,0.2676151553688033,True,3.3941195852330147e+49,2.144794716625969e+50
Borna Coric vs Sebastian Baez,p2,2.144794716625969e+49,2.9,0.2734113192722555,True,4.0751099615893413e+49,2.552305712784903e+50
Borna Coric vs Sebastian Baez,p2,2.552305712784903e+49,2.86,0.2434409861750309,True,4.74728862577992e+49,3.027034575362895e+50
Borna Coric vs Sebastian Baez,p2,3.0270345753628953e+49,2.7,0.2155188586304733,True,5.145958778116922e+49,3.541630453174587e+50
Borna Coric vs Sebastian Baez,p2,3.5416304531745874e+49,2.86,0.3309530495400415,True,6.587432642904732e+49,4.2003737174650606e+50
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,4.200373717465061e+49,5.4,0.4813558460321471,True,1.848164435684627e+50,6.048538153149687e+50
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,5.874174255729129e+49,5.1,0.3981807477885872,True,2.4084114448489426e+50,8.45694959799863e+50
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,8.456949597998631e+49,4.8,0.3942546202373951,True,3.2136408472394798e+50,1.167059044523811e+51
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,1.167059044523811e+50,6.0,0.6536722732007951,True,5.835295222619056e+50,1.7505885667857165e+51
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,1.7505885667857166e+50,6.0,0.5125185473182784,True,8.752942833928583e+50,2.6258828501785748e+51
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,2.625882850178575e+50,6.0,0.6536722732007951,True,1.3129414250892876e+51,3.938824275267862e+51
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,3.938824275267862e+50,4.8,0.3942546202373951,True,1.4967532246017876e+51,5.4355774998696495e+51
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,5.404234506035801e+50,5.0,0.3976934930034868,True,2.1616938024143206e+51,7.59727130228397e+51
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,7.597271302283971e+50,5.5,0.4586416992400568,True,3.418772086027787e+51,1.1016043388311757e+52
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,1.1016043388311757e+51,5.4,0.4813558460321471,True,4.8470590908571736e+51,1.586310247916893e+52
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,1.586310247916893e+51,6.0,0.6536722732007951,True,7.931551239584465e+51,2.3794653718753394e+52
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,2.3794653718753396e+51,5.25,0.4706773783907567,True,1.0112727830470193e+52,3.3907381549223585e+52
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,3.3907381549223585e+51,5.25,0.4706773783907567,True,1.4410637158420025e+52,4.831801870764362e+52
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,4.831801870764362e+51,4.8,0.3942546202373951,True,1.8360847108904574e+52,6.667886581654818e+52
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,6.667886581654819e+51,5.8,0.6102724683728422,True,3.200585559194313e+52,9.868472140849132e+52
