match_date,winner,loser,player_1,player_2,odds_player_1,odds_player_2,implied_prob_1,implied_prob_2,bookmaker,actual_winner,p1_is_winner,p2_is_winner
2023-08-28,Adrian Mannarino,Yosuke Watanuki,Adrian Mannarino,Yosuke Watanuki,1.48,2.6,0.6756756756756757,0.3846153846153846,PlayUp,Adrian Mannarino,True,False
2023-08-28,Adrian Mannarino,Yosuke Watanuki,Adrian Mannarino,Yosuke Watanuki,1.5,2.63,0.6666666666666666,0.3802281368821293,Betfair Sportsbook,Adrian Mannarino,True,False
2023-08-28,Adrian Mannarino,Yosuke Watanuki,Adrian Mannarino,Yosuke Watanuki,1.45,2.75,0.6896551724137931,0.3636363636363636,Betway,Adrian Mannarino,True,False
2023-08-28,Dominic Thiem,Alexander Bublik,Alexander Bublik,Dominic Thiem,1.57,2.34,0.6369426751592356,0.4273504273504274,SportsBet,Dominic Thiem,False,True
2023-08-28,Dominic Thiem,Alexander Bublik,Alexander Bublik,Dominic Thiem,1.57,2.35,0.6369426751592356,0.425531914893617,Everygame,Dominic Thiem,False,True
2023-08-28,Dominic Thiem,Alexander Bublik,Alexander Bublik,Dominic Thiem,1.57,2.37,0.6369426751592356,0.4219409282700421,Ladbrokes,Dominic Thiem,False,True
2023-08-28,Dominic Thiem,Alexander Bublik,Alexander Bublik,Dominic Thiem,1.57,2.38,0.6369426751592356,0.4201680672268907,Neds,Dominic Thiem,False,True
2023-08-28,Dominic Thiem,Alexander Bublik,Alexander Bublik,Dominic Thiem,1.58,2.4,0.6329113924050632,0.4166666666666667,Betsson,Dominic Thiem,False,True
2023-08-28,Dominic Thiem,Alexander Bublik,Alexander Bublik,Dominic Thiem,1.57,2.38,0.6369426751592356,0.4201680672268907,Ladbrokes,Dominic Thiem,False,True
2023-08-28,Dominic Thiem,Alexander Bublik,Alexander Bublik,Dominic Thiem,1.6,2.35,0.625,0.425531914893617,TAB,Dominic Thiem,False,True
2023-08-28,Dominic Thiem,Alexander Bublik,Alexander Bublik,Dominic Thiem,1.59,2.37,0.6289308176100629,0.4219409282700421,1xBet,Dominic Thiem,False,True
2023-08-28,Dominic Thiem,Alexander Bublik,Alexander Bublik,Dominic Thiem,1.57,2.4,0.6369426751592356,0.4166666666666667,LiveScore Bet,Dominic Thiem,False,True
2023-08-28,Dominic Thiem,Alexander Bublik,Alexander Bublik,Dominic Thiem,1.59,2.4,0.6289308176100629,0.4166666666666667,Bovada,Dominic Thiem,False,True
2023-08-28,Dominic Thiem,Alexander Bublik,Alexander Bublik,Dominic Thiem,1.62,2.47,0.6172839506172839,0.4048582995951417,Pinnacle,Dominic Thiem,False,True
2023-08-28,Dominic Thiem,Alexander Bublik,Alexander Bublik,Dominic Thiem,1.6,2.38,0.625,0.4201680672268907,Bet Victor,Dominic Thiem,False,True
2023-08-28,Dominic Thiem,Alexander Bublik,Alexander Bublik,Dominic Thiem,1.6,2.48,0.625,0.4032258064516129,LowVig.ag,Dominic Thiem,False,True
2023-08-28,Dominic Thiem,Alexander Bublik,Alexander Bublik,Dominic Thiem,1.6,2.48,0.625,0.4032258064516129,BetOnline.ag,Dominic Thiem,False,True
2023-08-28,Dominic Thiem,Alexander Bublik,Alexander Bublik,Dominic Thiem,1.57,2.35,0.6369426751592356,0.425531914893617,William Hill (US),Dominic Thiem,False,True
2023-08-28,Dominic Thiem,Alexander Bublik,Alexander Bublik,Dominic Thiem,1.65,2.48,0.6060606060606061,0.4032258064516129,Matchbook,Dominic Thiem,False,True
2023-08-28,Dominic Thiem,Alexander Bublik,Alexander Bublik,Dominic Thiem,1.54,2.35,0.6493506493506493,0.425531914893617,Mr Green,Dominic Thiem,False,True
