match,side,stake,odds,ev,win,profit,bankroll
Pedro Martinez vs Tallon Griekspoor,p2,221.76183418084804,2.04,0.08306797742987,True,230.63230754808197,3007.0608987316446
Pedro Martinez vs Tallon Griekspoor,p2,240.18314121738928,2.04,0.08306797742987,True,249.79046686608487,3256.8513655977295
Pedro Martinez vs Tallon Griekspoor,p2,249.37940852835175,2.05,0.0803992413410958,True,261.8483789547693,3518.699744552499
Pedro Martinez vs Tallon Griekspoor,p2,269.42932378012244,2.05,0.0803992413410958,True,282.90078996912854,3801.6005345216277
Pedro Martinez vs Tallon Griekspoor,p2,199.0115536101171,2.0,0.052349412254899,True,199.0115536101171,4000.6120881317447
Pedro Martinez vs Tallon Griekspoor,p2,319.5411102332624,2.04,0.08306797742987,True,332.3227546425929,4332.934842774338
Pedro Martinez vs Tallon Griekspoor,p2,352.39895512152765,2.0,0.0813303148809618,True,352.39895512152765,4685.333797895865
Pedro Martinez vs Tallon Griekspoor,p2,304.7200871275701,2.05,0.0682888573761036,True,319.9560914839485,5005.289889379814
Pedro Martinez vs Tallon Griekspoor,p2,343.2342743048259,2.09,0.0747459921923956,True,374.12535899226015,5379.415248372074
Pedro Martinez vs Tallon Griekspoor,p2,411.9056236455593,2.05,0.0803992413410958,True,432.5009048278372,5811.916153199911
Pedro Martinez vs Tallon Griekspoor,p2,377.9896316835633,2.05,0.0682888573761036,True,396.8891132677414,6208.8052664676525
Pedro Martinez vs Tallon Griekspoor,p2,418.6588311243192,2.06,0.0714756449825419,True,443.77836099177836,6652.583627459431
Pedro Martinez vs Tallon Griekspoor,p2,471.2574949333987,2.05,0.074380180301324,True,494.82036968006855,7147.4039971395
Pedro Martinez vs Tallon Griekspoor,p2,627.773847688724,2.05,0.0922240495062217,True,659.1625400731601,7806.56653721266
Pedro Martinez vs Tallon Griekspoor,p2,712.3174565909618,2.09,0.0994580682791915,True,776.4260276841483,8582.992564896807
Pedro Martinez vs Tallon Griekspoor,p2,507.8221822454198,2.05,0.0621244032691413,True,533.2132913576908,9116.205856254499
Pedro Martinez vs Tallon Griekspoor,p2,911.62058562545,2.12,0.1615773499221244,True,1021.0150559005041,10137.220912155002
Pedro Martinez vs Tallon Griekspoor,p2,924.9801923324407,2.09,0.0994580682791915,True,1008.2284096423601,11145.449321797363
Pedro Martinez vs Tallon Griekspoor,p2,1114.5449321797364,2.12,0.1615773499221244,True,1248.290324041305,12393.739645838668
Pedro Martinez vs Tallon Griekspoor,p2,1189.3000151523274,1.95,0.0911617515520479,True,1129.835014394711,13523.574660233378
Daniel Evans vs Thanasi Kokkinakis,p2,957.7248748044483,2.1,0.0779008057228201,True,1053.4973622848931,14577.072022518272
Daniel Evans vs Thanasi Kokkinakis,p2,1032.3324142125018,2.1,0.0779008057228201,True,1135.5656556337522,15712.637678152025
Daniel Evans vs Thanasi Kokkinakis,p2,1571.2637678152025,2.11,0.1298170275561117,True,1744.1027822748747,17456.7404604269
Daniel Evans vs Thanasi Kokkinakis,p2,1135.3341519559522,2.05,0.0682888573761036,True,1192.1008595537496,18648.84131998065
Daniel Evans vs Thanasi Kokkinakis,p2,1660.7988133272627,2.08,0.0961809201771526,True,1793.6627183934438,20442.504038374092
Daniel Evans vs Thanasi Kokkinakis,p2,1348.4881287758528,2.03,0.0679438668585729,True,1388.9427726391282,21831.446811013222
Daniel Evans vs Thanasi Kokkinakis,p2,1671.6492961751892,2.05,0.0803992413410958,True,1755.2317609839483,23586.67857199717
Daniel Evans vs Thanasi Kokkinakis,p2,1670.3829682579594,2.1,0.0779008057228201,True,1837.4212650837555,25424.099837080925
Daniel Evans vs Thanasi Kokkinakis,p2,1946.741274934842,2.05,0.0803992413410958,True,2044.0783386815838,27468.178175762507
Daniel Evans vs Thanasi Kokkinakis,p2,1945.2665560271653,2.1,0.0779008057228201,True,2139.793211629882,29607.97138739239
Daniel Evans vs Thanasi Kokkinakis,p2,1925.61384311371,2.05,0.0682888573761036,True,2021.894535269395,31629.865922661786
Daniel Evans vs Thanasi Kokkinakis,p2,2239.9927638910212,2.1,0.0779008057228201,True,2463.9920402801235,34093.85796294191
Daniel Evans vs Thanasi Kokkinakis,p2,3036.2765104304576,2.08,0.0961809201771526,True,3279.1786312648946,37373.0365942068
Daniel Evans vs Thanasi Kokkinakis,p2,2646.7178754519546,2.1,0.0779008057228201,True,2911.3896629971505,40284.42625720395
Daniel Evans vs Thanasi Kokkinakis,p2,2852.8993304706523,2.1,0.0779008057228201,True,3138.189263517718,43422.61552072167
Daniel Evans vs Thanasi Kokkinakis,p2,3324.9003284877285,2.05,0.0803992413410958,True,3491.1453449121145,46913.76086563378
Daniel Evans vs Thanasi Kokkinakis,p2,3094.662448630631,2.03,0.0679438668585729,True,3187.502322089549,50101.263187723336
Daniel Evans vs Thanasi Kokkinakis,p2,3836.2890957366935,2.05,0.0803992413410958,True,4028.1035505235277,54129.36673824686
Daniel Evans vs Thanasi Kokkinakis,p2,3703.8137493712566,2.04,0.0711622272984098,True,3851.966299346107,57981.33303759297
Daniel Evans vs Thanasi Kokkinakis,p2,4439.671607778942,2.05,0.0803992413410958,True,4661.655188167889,62642.98822576086
Daniel Evans vs Thanasi Kokkinakis,p2,3706.34120240118,2.05,0.0621244032691413,True,3891.658262521238,66534.6464882821
Daniel Evans vs Thanasi Kokkinakis,p2,6211.898136671697,2.05,0.0980315277492908,True,6522.493043505281,73057.13953178738
Daniel Evans vs Thanasi Kokkinakis,p2,5594.036755148843,2.05,0.0803992413410958,True,5873.738592906285,78930.87812469367
Daniel Evans vs Thanasi Kokkinakis,p2,6932.690677848859,2.05,0.0922240495062217,True,7279.325211741301,86210.20333643498
