market_id,player_1,player_2,odds_player_1,odds_player_2
1.211319971,Cameron Norrie,Andrey Rublev,2.42,100.0
1.211323287,Alexander Zverev,Daniil Medvedev,4.2,1.32
1.211323761,Frances Tiafoe,Alejandro Tabilo,1.23,5.3
1.211325121,Roberto Carballes Baena,Emil Ruusuvuori,6.0,1.19
1.211325125,Filip Krajinovic,Marc-Andrea Huesler,100.0,1.01
1.211325126,Alexei Popyrin,Oscar Otte,1.96,2.04
1.211325246,Pedro Martinez,Roman Safiullin,2.6,1.08
1.211365067,Felix Auger-Aliassime,Tommy Paul,1.37,5.0
1.21136574,Rinky Hijikata,Jan-Lennard Struff,3.15,1.46
1.211369522,Taylor Fritz,Marton Fucsovics,1.02,5.0
1.211371743,Maximilian Marterer,Aleksandar Vukic,15.0,1.03
1.211372673,Jannik Sinner,Stan Wawrinka,1.02,50.0
1.211376831,Jack Draper,Carlos Alcaraz,1000.0,1.36
1.211398854,Daniil Medvedev,Alejandro Davidovich Fokina,1.01,190.0
1.211406701,Frances Tiafoe,Cameron Norrie,2.62,110.0
1.211407994,Rinky Hijikata,Zhizhen Zhang,15.0,1.07
1.211410938,Taylor Fritz,Jannik Sinner,100.0,1.01
1.211417458,Felix Auger-Aliassime,Carlos Alcaraz,120.0,1.45
1.211449718,Daniil Medvedev,Frances Tiafoe,1.01,1000.0
1.21145112,Alexander Bublik,Zhizhen Zhang,1.52,2.94
1.211482355,Quentin Halys,Emil Ruusuvuori,1.03,34.0
1.211482744,Aleksandar Kovacevic,Richard Gasquet,1.12,9.0
1.211482787,Thanasi Kokkinakis,Jan-Lennard Struff,34.0,1.04
1.211486319,Matteo Berrettini,Aleksandar Vukic,1.07,15.0
1.211488739,Jannik Sinner,Carlos Alcaraz,600.0,1.67
1.211533644,Jan-Lennard Struff,Alexander Bublik,1.22,5.5
1.211535472,Aleksandar Kovacevic,Quentin Halys,2.02,1.97
