player_staked,stake,player_payout,bankroll,source_file
Patricia Maria Tig,22.973970648356687,143.58731655222928,1269.311878321707,value_bets_wta_us_open_2023_deduped.csv
Nadia Podoroska,25.38623756643414,85.04389584755437,1328.969536602827,value_bets_wta_wimbledon_2023_deduped.csv
Jil Teichmann,26.57939073205654,0.0,1302.3901458707705,value_bets_wta_wimbledon_2023_deduped.csv
Claire Liu,26.04780291741541,0.0,1276.3423429533552,value_bets_wta_wimbledon_2023_deduped.csv
Cristina Bucsa,25.526846859067106,43.65090812900475,1294.4664042232928,value_bets_wta_wimbledon_2023_deduped.csv
Ana Bogdan,25.889328084465856,84.14031627451403,1352.717392413341,value_bets_wta_wimbledon_2023_deduped.csv
Kaia Kanepi,27.054347848266822,0.0,1325.6630445650742,value_bets_wta_wimbledon_2023_deduped.csv
Diane Parry,26.513260891301485,88.81942398585997,1387.9692076596327,value_bets_wta_wimbledon_2023_deduped.csv
Kateryna Baindl,27.759384153192656,0.0,1360.20982350644,value_bets_wta_wimbledon_2023_deduped.csv
Martina Trevisan,27.2041964701288,0.0,1333.0056270363111,value_bets_wta_wimbledon_2023_deduped.csv
Mayar Sherif,26.660112540726224,0.0,1306.345514495585,value_bets_wta_wimbledon_2023_deduped.csv
Katerina Siniakova,26.1269102899117,52.2538205798234,1332.4724247854965,value_bets_wta_wimbledon_2023_deduped.csv
Belinda Bencic,26.64944849570993,39.44118377365069,1345.2641600634372,value_bets_wta_wimbledon_2023_deduped.csv
Caroline Dolehide,26.905283201268745,0.0,1318.3588768621685,value_bets_wta_wimbledon_2023_deduped.csv
Anna Blinkova,26.36717753724337,54.052713951348906,1346.044413276274,value_bets_wta_wimbledon_2023_deduped.csv
Greet Minnen,26.920888265525484,0.0,1319.1235250107486,value_bets_wta_wimbledon_2023_deduped.csv
Jule Niemeier,26.38247050021497,96.29601732578465,1389.0370718363183,value_bets_wta_wimbledon_2023_deduped.csv
Anna Bondar,27.780741436726366,0.0,1361.256330399592,value_bets_wta_wimbledon_2023_deduped.csv
Jaqueline Cristian,27.22512660799184,100.73296844956981,1434.76417224117,value_bets_wta_wimbledon_2023_deduped.csv
Dalma Galfi,28.6952834448234,85.22499183112551,1491.293880627472,value_bets_wta_wimbledon_2023_deduped.csv
Alycia Parks,29.82587761254944,0.0,1461.4680030149225,value_bets_wta_wimbledon_2023_deduped.csv
Anett Kontaveit,29.22936006029845,45.01321449285962,1477.2518574474836,value_bets_wta_wimbledon_2023_deduped.csv
Rebecca Peterson,29.545037148949675,0.0,1447.706820298534,value_bets_wta_wimbledon_2023_deduped.csv
Daria Saville,28.95413640597068,0.0,1418.7526838925633,value_bets_wta_wimbledon_2023_deduped.csv
Jasmine Paolini,28.375053677851266,0.0,1390.377630214712,value_bets_wta_wimbledon_2023_deduped.csv
Magdalena Frech,27.807552604294244,0.0,1362.570077610418,value_bets_wta_wimbledon_2023_deduped.csv
Anna Karolina Schmiedlova,27.25140155220836,0.0,1335.3186760582096,value_bets_wta_wimbledon_2023_deduped.csv
Sorana Cirstea,26.706373521164192,48.33853607330719,1356.9508386103525,value_bets_wta_wimbledon_2023_deduped.csv
Aslan Karatsev,27.13901677220705,47.76466951908441,1377.57649135723,value_bets_atp_wimbledon_2023_deduped_capped.csv
Brandon Nakashima,27.551529827144602,0.0,1350.0249615300854,value_bets_atp_wimbledon_2023_deduped_capped.csv
Juan Pablo Varillas,27.000499230601708,0.0,1323.0244622994837,value_bets_atp_wimbledon_2023_deduped_capped.csv
Borna Gojo,26.460489245989674,0.0,1296.563973053494,value_bets_atp_wimbledon_2023_deduped_capped.csv
Constant Lestienne,25.93127946106988,0.0,1270.6326935924242,value_bets_atp_wimbledon_2023_deduped_capped.csv
Corentin Moutet,25.412653871848484,60.990369292436355,1306.210409013012,value_bets_atp_wimbledon_2023_deduped_capped.csv
Jaume Munar,26.12420818026024,83.07498201322757,1363.1611828459793,value_bets_atp_wimbledon_2023_deduped_capped.csv
Pedro Cachin,0.0,0.0,1363.1611828459793,value_bets_atp_wimbledon_2023_deduped_capped.csv
Casper Ruud,27.263223656919585,33.53376509801109,1369.431724287071,value_bets_atp_wimbledon_2023_deduped_capped.csv
Aleksandar Vukic,27.38863448574142,40.535179038897304,1382.5782688402269,value_bets_atp_wimbledon_2023_deduped_capped.csv
Alex Molcan,27.651565376804538,0.0,1354.9267034634224,value_bets_atp_wimbledon_2023_deduped_capped.csv
Alexander Bublik,27.09853406926845,37.937947696975826,1365.76611709113,value_bets_atp_wimbledon_2023_deduped_capped.csv
Daniel Elahi Galan,27.315322341822597,56.815870470991,1395.2666652202984,value_bets_atp_wimbledon_2023_deduped_capped.csv
Diego Schwartzman,27.905333304405968,76.73966658711642,1444.100998503009,value_bets_atp_wimbledon_2023_deduped_capped.csv
Dominik Koepfer,28.882019970060178,0.0,1415.2189785329488,value_bets_atp_wimbledon_2023_deduped_capped.csv
Dusan Lajovic,28.304379570658977,0.0,1386.9145989622898,value_bets_atp_wimbledon_2023_deduped_capped.csv
Roberto Bautista Agut,27.738291979245798,0.0,1359.176306983044,value_bets_atp_wimbledon_2023_deduped_capped.csv
Daniel Evans,27.18352613966088,0.0,1331.9927808433831,value_bets_atp_wimbledon_2023_deduped_capped.csv
Emil Ruusuvuori,26.639855616867663,0.0,1305.3529252265155,value_bets_atp_wimbledon_2023_deduped_capped.csv
Benjamin Bonzi,26.10705850453031,0.0,1279.245866721985,value_bets_atp_wimbledon_2023_deduped_capped.csv
Bernabe Zapata Miralles,25.5849173344397,0.0,1253.6609493875453,value_bets_atp_wimbledon_2023_deduped_capped.csv
Borna Coric,25.073218987750906,0.0,1228.5877303997945,value_bets_atp_wimbledon_2023_deduped_capped.csv
Gregoire Barrere,24.571754607995892,46.686333755192194,1250.7023095469908,value_bets_atp_wimbledon_2023_deduped_capped.csv
Taylor Fritz,25.014046190939816,31.267557738674768,1256.9558210947257,value_bets_atp_wimbledon_2023_deduped_capped.csv
Juan Manuel Cerundolo,0.0,0.0,1256.9558210947257,value_bets_atp_wimbledon_2023_deduped_capped.csv
Alejandro Davidovich Fokina,25.139116421894514,40.47397743925017,1272.2906821120814,value_bets_atp_wimbledon_2023_deduped_capped.csv
Alexandre Muller,25.445813642241628,106.87241729741484,1353.7172857672547,value_bets_atp_wimbledon_2023_deduped_capped.csv
Arthur Fery,27.074345715345093,0.0,1326.6429400519096,value_bets_atp_wimbledon_2023_deduped_capped.csv
Ben Shelton,26.53285880103819,37.67665949747423,1337.7867407483457,value_bets_atp_wimbledon_2023_deduped_capped.csv
Botic Van De Zandschulp,26.755734814966914,43.611847748396066,1354.6428536817748,value_bets_atp_wimbledon_2023_deduped_capped.csv
Jeremy Chardy,0.0,0.0,1354.6428536817748,value_bets_atp_wimbledon_2023_deduped_capped.csv
Christopher Eubanks,27.092857073635496,35.76257133719886,1363.312567945338,value_bets_atp_wimbledon_2023_deduped_capped.csv
Dennis Novak,27.26625135890676,0.0,1336.0463165864312,value_bets_atp_wimbledon_2023_deduped_capped.csv
Dominic Thiem,26.720926331728624,0.0,1309.3253902547026,value_bets_atp_wimbledon_2023_deduped_capped.csv
Federico Coria,26.186507805094053,0.0,1283.1388824496084,value_bets_atp_wimbledon_2023_deduped_capped.csv
Francisco Cerundolo,25.66277764899217,33.87486649666966,1291.350971297286,value_bets_atp_wimbledon_2023_deduped_capped.csv
Hugo Dellien,25.827019425945718,0.0,1265.5239518713402,value_bets_atp_wimbledon_2023_deduped_capped.csv
Jason Kubler,25.310479037426802,63.276197593567005,1303.4896704274804,value_bets_atp_wimbledon_2023_deduped_capped.csv
Jiri Lehecka,26.069793408549607,40.1474818491664,1317.5673588680972,value_bets_atp_wimbledon_2023_deduped_capped.csv
Jiri Vesely,26.351347177361944,171.28375665285265,1462.499768343588,value_bets_atp_wimbledon_2023_deduped_capped.csv
Laslo Djere,29.249995366871758,65.81248957546146,1499.0622625521776,value_bets_atp_wimbledon_2023_deduped_capped.csv
Lorenzo Sonego,29.981245251043553,0.0,1469.0810173011341,value_bets_atp_wimbledon_2023_deduped_capped.csv
Marton Fucsovics,29.381620346022682,59.35087309896582,1499.0502700540774,value_bets_atp_wimbledon_2023_deduped_capped.csv
Sho Shimabukuro,0.0,0.0,1499.0502700540774,value_bets_atp_wimbledon_2023_deduped_capped.csv
Jordan Thompson,29.981005401081546,0.0,1469.0692646529958,value_bets_atp_wimbledon_2023_deduped_capped.csv
Maximilian Marterer,29.381385293059918,54.35556279216085,1494.0434421520968,value_bets_atp_wimbledon_2023_deduped_capped.csv
